0,1,2
17.600183,13.915542,16.177816
17.578209,13.8929825,16.155293
17.603441,13.917873,16.180239
17.596006,13.910386,16.172768
17.627298,13.939403,16.201956
17.62356,13.935657,16.198212
17.6501,13.959914,16.222654
17.679811,13.988494,16.25131
17.656364,13.965626,16.228336
17.655525,13.964821,16.227518
17.631096,13.940591,16.203236
17.643852,13.95615,16.218245
15.619604,17.175047,18.250263
15.637311,17.156277,18.232265
15.635788,17.157934,18.233854
15.633885,17.160162,18.235798
15.644134,17.149963,18.225561
15.620832,17.174248,18.248991
15.597121,17.197676,18.272688
15.642211,17.152382,18.227598
15.576271,17.221058,18.294102
15.020116,17.818945,18.860497
14.974804,17.86597,18.906284
14.935191,17.905432,18.945866
14.966709,17.873926,18.914335
14.974275,17.866413,18.906796
14.962048,17.87865,18.919014
14.956624,17.884188,18.924461
14.956267,17.884573,18.924812
14.957101,17.883698,18.923977
12.337154,5.6223936,15.766171
12.352917,5.6247773,15.781722
12.383982,5.620904,15.812575
12.353391,5.6202416,15.781666
12.345191,5.6423216,15.774234
12.357409,5.655973,15.786598
12.352091,5.6402144,15.7810955
12.328638,5.7068076,15.759463
12.321567,5.7165365,15.751797
12.257892,6.026159,15.696436
12.213473,6.142797,15.658137
12.21616,6.1352367,15.660546
12.2161,6.1352687,15.660646
12.211004,6.146845,15.656082
12.2104025,6.1476765,15.655508
12.191638,6.165912,15.637046
14.736858,14.681497,4.287461
14.735831,14.679836,4.2891626
14.752317,14.697504,4.271923
14.773904,14.718479,4.2502933
14.753479,14.698171,4.270677
14.795167,14.73998,4.228992
14.773782,14.718418,4.250364
14.777994,14.722663,4.2461195
14.773174,14.717768,4.250914
14.765963,14.710439,4.2583313
7.40646,9.738395,15.287517
7.403239,9.742283,15.284895
7.4161797,9.73271,15.296434
7.3698897,9.790788,15.2438545
7.3868165,9.776602,15.262612
7.362264,9.808651,15.230703
7.3507986,9.82411,15.217778
7.353044,9.816724,15.222164
7.3611956,9.806911,15.230741
7.351623,9.842765,15.20896
7.3222055,9.880808,15.175061
7.308082,10.595269,14.8920765
7.3268065,10.5784445,14.88155
7.318856,10.585298,14.892803
7.260168,10.63775,14.840788
7.233959,10.680818,14.878838
7.227774,10.688777,14.877304
7.2104077,10.713775,14.880737
7.2191577,10.705088,14.87752
7.2425942,10.674071,14.872116
7.2202578,11.60233,14.438607
7.217675,11.633053,14.4445915
7.2222,11.700428,14.420119
7.2659206,11.7027,14.369922
7.2320065,11.696385,14.412452
7.252975,11.680216,14.389486
7.2502613,11.715083,14.4004
7.2504163,11.701615,14.384524
7.2398295,11.700061,14.39804
7.48845,11.651622,13.68552
7.4934654,11.652784,13.691081
7.539816,11.680158,13.560046
7.511959,11.689425,13.571433
7.519536,11.746023,13.469958
7.545757,11.7151375,13.446202
7.5445957,11.740733,13.431113
7.57744,11.721444,13.408777
7.6358,11.651612,13.3616495
7.5518985,11.730834,13.431011
7.5659523,11.713294,13.42649
7.534105,11.800592,13.332083
7.514234,11.830898,13.299133
7.5046678,11.843715,13.286381
7.5120854,11.831999,13.304607
13.98875,2.4689758,13.002799
13.98363,2.4707484,12.990885
13.994047,2.4653854,13.011688
14.021364,2.4408858,13.047159
14.005021,2.4549522,13.025765
14.09522,2.4141133,13.2112665
14.1226225,2.4051287,13.287711
14.134961,2.401552,13.309945
14.129102,2.4024713,13.298428
14.185447,2.3771355,13.407153
14.264572,2.3121393,13.528066
14.2750225,2.341248,13.543152
14.314256,2.3471725,13.594074
14.296472,2.3296797,13.572319
14.273427,2.3379269,13.542662
14.30305,2.3177955,13.570637
14.298673,2.3343825,13.56562
14.292256,2.3377187,13.566695
12.76604,15.989289,8.289952
12.754267,15.972378,8.299351
12.746189,15.962566,8.306974
12.74609,15.962453,8.307062
12.757614,15.976093,8.296221
12.708689,15.905045,8.338394
12.69109,15.886814,8.355633
12.647421,15.821124,8.398618
12.65542,15.803702,8.406909
12.647792,15.829161,8.398149
12.622636,15.83441,8.388265
12.630703,15.811699,8.412274
