utctimestamp,count,total_files,total_size_used,total_size_total,total_size_free,severity
2022-06-01 12:27:05.658259+00:00,110,4320691,15077502976,21206751232,6129248256,INFO
2022-06-01 12:27:20.652668+00:00,110,4320691,15077502976,21206751232,6129248256,INFO
2022-06-01 12:27:35.653597+00:00,110,4320691,15077511168,21206751232,6129240064,INFO
2022-06-01 12:27:50.650781+00:00,110,4320691,15077511168,21206751232,6129240064,INFO
2022-06-01 12:28:05.651295+00:00,110,4320691,15077527552,21206751232,6129223680,INFO
2022-06-01 12:28:20.669346+00:00,110,4320691,15077527552,21206751232,6129223680,INFO
2022-06-01 12:28:35.660781+00:00,110,4320691,15077527552,21206751232,6129223680,INFO
2022-06-01 12:28:50.656293+00:00,110,4320691,15077527552,21206751232,6129223680,INFO
2022-06-01 12:29:05.650189+00:00,110,4320691,15077527552,21206751232,6129223680,INFO
2022-06-01 12:29:20.655227+00:00,110,4320691,15077560320,21206751232,6129190912,INFO
2022-06-01 12:29:35.658403+00:00,110,4320691,15077576704,21206751232,6129174528,INFO
2022-06-01 12:29:50.656416+00:00,110,4320691,15077576704,21206751232,6129174528,INFO
2022-06-01 12:30:05.647281+00:00,110,4320691,15077584896,21206751232,6129166336,INFO
2022-06-01 12:30:20.653668+00:00,110,4320691,15077584896,21206751232,6129166336,INFO
2022-06-01 12:30:35.645315+00:00,110,4320691,15077584896,21206751232,6129166336,INFO
2022-06-01 12:30:50.669193+00:00,110,4320691,15077584896,21206751232,6129166336,INFO
2022-06-01 12:31:05.657045+00:00,110,4320691,15077601280,21206751232,6129149952,INFO
2022-06-01 12:31:20.646348+00:00,110,4320691,15077601280,21206751232,6129149952,INFO
2022-06-01 12:31:35.651308+00:00,110,4320691,15077601280,21206751232,6129149952,INFO
2022-06-01 12:31:50.644301+00:00,110,4320691,15077601280,21206751232,6129149952,INFO
2022-06-01 12:32:05.643450+00:00,110,4320691,15077609472,21206751232,6129141760,INFO
2022-06-01 12:32:20.650427+00:00,110,4320691,15077617664,21206751232,6129133568,INFO
2022-06-01 12:32:35.670192+00:00,110,4320691,15077625856,21206751232,6129125376,INFO
2022-06-01 12:32:50.642351+00:00,110,4320691,15077634048,21206751232,6129117184,INFO
2022-06-01 12:33:05.645830+00:00,110,4320691,15077634048,21206751232,6129117184,INFO
2022-06-01 12:33:20.644684+00:00,110,4320691,15077634048,21206751232,6129117184,INFO
2022-06-01 12:33:35.644738+00:00,110,4320691,15077634048,21206751232,6129117184,INFO
2022-06-01 12:33:50.647814+00:00,110,4320691,15077634048,21206751232,6129117184,INFO
2022-06-01 12:34:05.642776+00:00,110,4320691,15077642240,21206751232,6129108992,INFO
2022-06-01 12:34:20.648318+00:00,110,4320691,15077675008,21206751232,6129076224,INFO
2022-06-01 12:34:35.640106+00:00,110,4320691,15077691392,21206751232,6129059840,INFO
2022-06-01 12:34:50.662949+00:00,110,4320691,15077691392,21206751232,6129059840,INFO
2022-06-01 12:35:05.650963+00:00,110,4320691,15077691392,21206751232,6129059840,INFO
2022-06-01 12:35:20.653134+00:00,110,4320691,15077691392,21206751232,6129059840,INFO
2022-06-01 12:35:35.645948+00:00,110,4320691,15077699584,21206751232,6129051648,INFO
2022-06-01 12:35:50.638817+00:00,110,4320691,15077699584,21206751232,6129051648,INFO
2022-06-01 12:36:05.639513+00:00,110,4320691,15077707776,21206751232,6129043456,INFO
2022-06-01 12:36:20.641341+00:00,110,4320691,15077707776,21206751232,6129043456,INFO
2022-06-01 12:36:35.650907+00:00,110,4320691,15077724160,21206751232,6129027072,INFO
2022-06-01 12:36:50.637515+00:00,110,4320691,15077724160,21206751232,6129027072,INFO
2022-06-01 12:37:05.647698+00:00,110,4320691,15077732352,21206751232,6129018880,INFO
2022-06-01 12:37:20.671498+00:00,110,4320691,15077732352,21206751232,6129018880,INFO
2022-06-01 12:37:35.662956+00:00,110,4320691,15077740544,21206751232,6129010688,INFO
2022-06-01 12:37:50.650902+00:00,110,4320691,15077740544,21206751232,6129010688,INFO
