irq_pct,irq_norm_pct,softirq_pct,softirq_norm_pct,total_pct,total_norm_pct,steal_pct,steal_norm_pct,cores,iowait_pct,iowait_norm_pct,nice_pct,nice_norm_pct,idle_pct,idle_norm_pct,user_pct,user_norm_pct,system_pct,system_norm_pct,utctimestamp,hostname
0,0,0.0,0.0,0.0133,0.0133,0.0,0.0,1,0.0,0.0,0,0,0.9867,0.9867,0.01,0.01,0.0033,0.0033,2022-05-05T05:25:09.650082+00:00,VM1
0,0,0.0,0.0,0.01,0.01,0.0,0.0,1,0.0007,0.0007,0,0,0.9893,0.9893,0.0081,0.0081,0.002,0.002,2022-05-05T05:25:24.650229+00:00,VM1
0,0,0.0007,0.0007,0.012,0.012,0.0,0.0,1,0.0007,0.0007,0,0,0.9873,0.9873,0.008,0.008,0.0034,0.0034,2022-05-05T05:25:39.659359+00:00,VM1
0,0,0.0007,0.0007,0.0141,0.0141,0.0,0.0,1,0.0,0.0,0,0,0.9859,0.9859,0.0094,0.0094,0.004,0.004,2022-05-05T05:27:54.639384+00:00,VM1
0,0,0.0,0.0,0.0127,0.0127,0.0,0.0,1,0.0007,0.0007,0,0,0.9866,0.9866,0.0114,0.0114,0.0013,0.0013,2022-05-05T05:28:09.637413+00:00,VM1
0,0,0.0,0.0,0.0107,0.0107,0.0,0.0,1,0.0,0.0,0,0,0.9893,0.9893,0.0087,0.0087,0.002,0.002,2022-05-05T05:25:54.641473+00:00,VM1
0,0,0.0,0.0,0.0114,0.0114,0.0,0.0,1,0.0007,0.0007,0,0,0.9879,0.9879,0.0081,0.0081,0.0034,0.0034,2022-05-05T05:26:09.643770+00:00,VM1
0,0,0.0,0.0,0.0128,0.0128,0.0,0.0,1,0.0007,0.0007,0,0,0.9865,0.9865,0.0101,0.0101,0.0027,0.0027,2022-05-05T05:47:24.621502+00:00,VM1
0,0,0.0,0.0,0.0093,0.0093,0.0,0.0,1,0.0007,0.0007,0,0,0.99,0.99,0.008,0.008,0.0013,0.0013,2022-05-05T05:47:39.620158+00:00,VM1
0,0,0.0,0.0,0.0107,0.0107,0.0,0.0,1,0.0007,0.0007,0,0,0.9886,0.9886,0.008,0.008,0.0027,0.0027,2022-05-05T05:48:54.624582+00:00,VM1
0,0,0.0,0.0,0.01,0.01,0.0,0.0,1,0.0007,0.0007,0,0,0.9893,0.9893,0.0087,0.0087,0.0013,0.0013,2022-05-05T05:49:09.616910+00:00,VM1
0,0,0.0,0.0,0.012,0.012,0.0,0.0,1,0.0007,0.0007,0,0,0.9873,0.9873,0.0087,0.0087,0.0033,0.0033,2022-05-05T05:50:54.604211+00:00,VM1
0,0,0.0,0.0,0.012,0.012,0.0,0.0,1,0.0,0.0,0,0,0.988,0.988,0.008,0.008,0.004,0.004,2022-05-05T05:51:09.603588+00:00,VM1
0,0,0.0,0.0,0.0087,0.0087,0.0,0.0,1,0.0,0.0,0,0,0.9913,0.9913,0.0067,0.0067,0.002,0.002,2022-05-05T05:49:24.606050+00:00,VM1
0,0,0.0,0.0,0.0101,0.0101,0.0,0.0,1,0.0007,0.0007,0,0,0.9892,0.9892,0.0088,0.0088,0.0013,0.0013,2022-05-05T05:49:39.614415+00:00,VM1
0,0,0.0007,0.0007,0.0107,0.0107,0.0,0.0,1,0.0,0.0,0,0,0.9893,0.9893,0.0067,0.0067,0.0033,0.0033,2022-05-05T05:49:54.606055+00:00,VM1
0,0,0.0,0.0,0.0107,0.0107,0.0,0.0,1,0.0007,0.0007,0,0,0.9886,0.9886,0.0087,0.0087,0.002,0.002,2022-05-05T05:50:09.627738+00:00,VM1
0,0,0.0,0.0,0.01,0.01,0.0,0.0,1,0.0,0.0,0,0,0.99,0.99,0.0067,0.0067,0.0033,0.0033,2022-05-05T05:50:24.626061+00:00,VM1
0,0,0.0,0.0,0.0107,0.0107,0.0007,0.0007,1,0.0007,0.0007,0,0,0.9886,0.9886,0.0074,0.0074,0.0027,0.0027,2022-05-05T05:50:39.603397+00:00,VM1
