total_size_free,total_size_used,total_size_total,total_files,count,utctimestamp,hostname
6629066752,14474801152,21103867904,4195100,109,2022-05-05T06:16:05.610083+00:00,VM1
6629066752,14474801152,21103867904,4195100,109,2022-05-05T06:16:20.618152+00:00,VM1
6629033984,14474833920,21103867904,4195100,109,2022-05-05T06:18:05.616086+00:00,VM1
6629033984,14474833920,21103867904,4195100,109,2022-05-05T06:18:20.606563+00:00,VM1
6628378624,14475489280,21103867904,4195100,109,2022-05-05T06:49:05.557346+00:00,VM1
6628378624,14475489280,21103867904,4195100,109,2022-05-05T06:49:20.582221+00:00,VM1
6628378624,14475489280,21103867904,4195100,109,2022-05-05T06:49:35.560726+00:00,VM1
6628345856,14475522048,21103867904,4195100,109,2022-05-05T06:49:50.558016+00:00,VM1
6628304896,14475563008,21103867904,4195100,109,2022-05-05T06:52:05.556704+00:00,VM1
6628304896,14475563008,21103867904,4195100,109,2022-05-05T06:52:20.563748+00:00,VM1
6628329472,14475538432,21103867904,4195100,109,2022-05-05T06:50:05.557071+00:00,VM1
6628329472,14475538432,21103867904,4195100,109,2022-05-05T06:50:20.558954+00:00,VM1
6628403200,14475464704,21103867904,4195100,109,2022-05-05T06:48:05.571563+00:00,VM1
6628395008,14475472896,21103867904,4195100,109,2022-05-05T06:48:20.562025+00:00,VM1
6628321280,14475546624,21103867904,4195100,109,2022-05-05T06:51:05.555452+00:00,VM1
6628321280,14475546624,21103867904,4195100,109,2022-05-05T06:51:20.560765+00:00,VM1
6628304896,14475563008,21103867904,4195100,109,2022-05-05T06:51:35.561902+00:00,VM1
6628304896,14475563008,21103867904,4195100,109,2022-05-05T06:51:50.557295+00:00,VM1
6628378624,14475489280,21103867904,4195100,109,2022-05-05T06:48:35.564369+00:00,VM1
6628378624,14475489280,21103867904,4195100,109,2022-05-05T06:48:50.557041+00:00,VM1
6628329472,14475538432,21103867904,4195100,109,2022-05-05T06:50:35.567071+00:00,VM1
6628329472,14475538432,21103867904,4195100,109,2022-05-05T06:50:50.557650+00:00,VM1
6627780608,14476087296,21103867904,4195100,109,2022-05-05T07:16:35.532949+00:00,VM1
6627780608,14476087296,21103867904,4195100,109,2022-05-05T07:16:50.520627+00:00,VM1
6627837952,14476029952,21103867904,4195100,109,2022-05-05T07:14:35.519130+00:00,VM1
6627805184,14476062720,21103867904,4195100,109,2022-05-05T07:14:50.519550+00:00,VM1
6627805184,14476062720,21103867904,4195100,109,2022-05-05T07:15:05.519392+00:00,VM1
6627805184,14476062720,21103867904,4195100,109,2022-05-05T07:15:20.523782+00:00,VM1
6627796992,14476070912,21103867904,4195100,109,2022-05-05T07:15:35.518240+00:00,VM1
6627796992,14476070912,21103867904,4195100,109,2022-05-05T07:15:50.522105+00:00,VM1
6627780608,14476087296,21103867904,4195100,109,2022-05-05T07:16:05.517142+00:00,VM1
6627780608,14476087296,21103867904,4195100,109,2022-05-05T07:16:20.519972+00:00,VM1
6627764224,14476103680,21103867904,4195100,109,2022-05-05T07:17:35.526422+00:00,VM1
6627764224,14476103680,21103867904,4195100,109,2022-05-05T07:17:50.516400+00:00,VM1
6627756032,14476111872,21103867904,4195100,109,2022-05-05T07:18:05.517442+00:00,VM1
6627756032,14476111872,21103867904,4195100,109,2022-05-05T07:18:20.514432+00:00,VM1
6627772416,14476095488,21103867904,4195100,109,2022-05-05T07:17:05.516178+00:00,VM1
6627772416,14476095488,21103867904,4195100,109,2022-05-05T07:17:20.514301+00:00,VM1
6627739648,14476128256,21103867904,4195100,109,2022-05-05T07:18:35.514587+00:00,VM1
6627739648,14476128256,21103867904,4195100,109,2022-05-05T07:18:50.516152+00:00,VM1
6627149824,14476718080,21103867904,4195100,109,2022-05-05T07:45:50.470645+00:00,VM1
6627141632,14476726272,21103867904,4195100,109,2022-05-05T07:46:05.470924+00:00,VM1
6627117056,14476750848,21103867904,4195100,109,2022-05-05T07:47:50.470132+00:00,VM1
6627117056,14476750848,21103867904,4195100,109,2022-05-05T07:48:05.478598+00:00,VM1
6627141632,14476726272,21103867904,4195100,109,2022-05-05T07:46:50.484329+00:00,VM1
6627125248,14476742656,21103867904,4195100,109,2022-05-05T07:47:05.470186+00:00,VM1
6627092480,14476775424,21103867904,4195100,109,2022-05-05T07:48:50.465972+00:00,VM1
6627092480,14476775424,21103867904,4195100,109,2022-05-05T07:49:05.469315+00:00,VM1
6627125248,14476742656,21103867904,4195100,109,2022-05-05T07:47:20.470168+00:00,VM1
6627125248,14476742656,21103867904,4195100,109,2022-05-05T07:47:35.469052+00:00,VM1
