utctimestamp,in_errors,in_packets,in_bytes,in_dropped,out_errors,out_packets,out_bytes,out_dropped,name
2022-05-05 05:05:24.684511+00:00,0,1472580,71084061,15,0,207988,251573882,0,eth0
2022-05-05 05:05:39.677223+00:00,0,1472594,71084875,15,0,207998,251578095,0,eth0
2022-05-05 05:05:54.682610+00:00,0,1472610,71085822,15,0,208010,251583585,0,eth0
2022-05-05 05:06:09.671504+00:00,0,1472624,71086636,15,0,208020,251587758,0,eth0
2022-05-05 05:06:24.690907+00:00,0,1472640,71087577,15,0,208033,251593276,0,eth0
2022-05-05 05:06:39.677421+00:00,0,1472653,71088345,15,0,208042,251597424,0,eth0
2022-05-05 05:06:54.679896+00:00,0,1472669,71089286,15,0,208055,251602937,0,eth0
2022-05-05 05:07:09.682366+00:00,0,1472683,71090100,15,0,208065,251607145,0,eth0
2022-05-05 05:07:24.675653+00:00,0,1472698,71090995,15,0,208077,251612646,0,eth0
2022-05-05 05:07:39.713384+00:00,0,1472712,71091809,15,0,208087,251616867,0,eth0
2022-05-05 05:07:54.696903+00:00,0,1472728,71092750,15,0,208100,251622393,0,eth0
2022-05-05 05:08:09.687710+00:00,0,1472741,71093518,15,0,208109,251626571,0,eth0
2022-05-05 05:08:24.693084+00:00,0,1472758,71094511,15,0,208122,251632121,0,eth0
2022-05-05 05:08:39.664032+00:00,0,1472771,71095279,15,0,208131,251636277,0,eth0
2022-05-05 05:08:54.686015+00:00,0,1472787,71096220,15,0,208144,251641796,0,eth0
2022-05-05 05:09:09.694307+00:00,0,1472801,71097034,15,0,208154,251645976,0,eth0
2022-05-05 05:09:24.676508+00:00,0,1472816,71097929,15,0,208166,251651446,0,eth0
2022-05-05 05:09:39.675266+00:00,0,1472830,71098743,15,0,208176,251655631,0,eth0
2022-05-05 05:09:54.662620+00:00,0,1472846,71099684,15,0,208189,251661165,0,eth0
2022-05-05 05:10:09.675815+00:00,0,1472859,71100452,15,0,208198,251665294,0,eth0
2022-05-05 05:10:24.686778+00:00,0,1472875,71101393,15,0,208211,251670830,0,eth0
2022-05-05 05:10:39.689650+00:00,0,1472888,71102161,15,0,208220,251674977,0,eth0
2022-05-05 05:10:54.667001+00:00,0,1472905,71103154,15,0,208233,251680540,0,eth0
2022-05-05 05:11:09.701954+00:00,0,1472919,71103968,15,0,208243,251684793,0,eth0
2022-05-05 05:11:24.670172+00:00,0,1472934,71104863,15,0,208255,251690282,0,eth0
2022-05-05 05:11:39.670354+00:00,0,1472948,71105677,15,0,208265,251694460,0,eth0
2022-05-05 05:11:54.678179+00:00,0,1472964,71106624,15,0,208277,251699956,0,eth0
2022-05-05 05:12:09.671021+00:00,0,1472978,71107438,15,0,208287,251704115,0,eth0
2022-05-05 05:12:24.682674+00:00,0,1472994,71108379,15,0,208300,251709623,0,eth0
2022-05-05 05:12:39.667039+00:00,0,1473007,71109147,15,0,208309,251713824,0,eth0
2022-05-05 05:12:54.681775+00:00,0,1473023,71110088,15,0,208322,251719340,0,eth0
2022-05-05 05:13:09.672984+00:00,0,1473036,71110856,15,0,208331,251723493,0,eth0
2022-05-05 05:13:24.689996+00:00,0,1473051,71111751,15,0,208343,251728968,0,eth0
2022-05-05 05:13:39.666011+00:00,0,1473065,71112565,15,0,208353,251733169,0,eth0
2022-05-05 05:13:54.656049+00:00,0,1473080,71113460,15,0,208365,251738654,0,eth0
2022-05-05 05:14:09.659323+00:00,0,1473093,71114228,15,0,208374,251742800,0,eth0
2022-05-05 05:14:24.671769+00:00,0,1473109,71115169,15,0,208387,251748337,0,eth0
2022-05-05 05:14:39.694668+00:00,0,1473122,71115937,15,0,208396,251752467,0,eth0
2022-05-05 05:14:54.673684+00:00,0,1473137,71116832,15,0,208408,251757938,0,eth0
2022-05-05 05:15:09.666637+00:00,0,1473151,71117646,15,0,208418,251762135,0,eth0
2022-05-05 05:15:24.673044+00:00,0,1473166,71118541,15,0,208430,251767648,0,eth0
2022-05-05 05:15:39.676188+00:00,0,1473179,71119309,15,0,208439,251771790,0,eth0
2022-05-05 05:20:24.657202+00:00,0,1473456,71135649,15,0,208647,251864333,0,eth0
2022-05-05 05:20:39.660968+00:00,0,1473470,71136463,15,0,208657,251868535,0,eth0
2022-05-05 05:20:54.661798+00:00,0,1473486,71137404,15,0,208670,251874100,0,eth0
2022-05-05 05:21:09.667435+00:00,0,1473499,71138172,15,0,208679,251878233,0,eth0
2022-05-05 05:21:24.664106+00:00,0,1473515,71139113,15,0,208692,251883755,0,eth0
2022-05-05 05:21:39.722554+00:00,0,1473528,71139881,15,0,208701,251887888,0,eth0
2022-05-05 05:21:54.655894+00:00,0,1473544,71140822,15,0,208714,251893422,0,eth0
2022-05-05 05:22:09.655227+00:00,0,1473557,71141590,15,0,208723,251897574,0,eth0
2022-05-05 05:22:24.656675+00:00,0,1473573,71142531,15,0,208736,251903113,0,eth0
2022-05-05 05:22:39.660743+00:00,0,1473586,71143299,15,0,208745,251907242,0,eth0
2022-05-05 05:22:54.696454+00:00,0,1473601,71144194,15,0,208757,251912742,0,eth0
2022-05-05 05:23:09.656388+00:00,0,1473617,71145472,15,0,208770,251917190,0,eth0
2022-05-05 05:23:24.666202+00:00,0,1473633,71146413,15,0,208785,251922950,0,eth0
2022-05-05 05:23:39.651479+00:00,0,1473646,71147181,15,0,208795,251927178,0,eth0
2022-05-05 05:23:54.644758+00:00,0,1473662,71148122,15,0,208808,251932745,0,eth0
2022-05-05 05:24:09.670053+00:00,0,1473675,71148890,15,0,208817,251936916,0,eth0
2022-05-05 05:24:24.666049+00:00,0,1473691,71149831,15,0,208830,251942437,0,eth0
2022-05-05 05:24:39.653713+00:00,0,1473704,71150599,15,0,208839,251946565,0,eth0
2022-05-05 05:24:54.653524+00:00,0,1473720,71151540,15,0,208852,251952091,0,eth0
2022-05-05 05:25:09.639774+00:00,0,1473733,71152308,15,0,208861,251956239,0,eth0
2022-05-05 05:25:24.658402+00:00,0,1473749,71153255,15,0,208873,251961749,0,eth0
2022-05-05 05:25:39.670635+00:00,0,1473763,71154069,15,0,208883,251965956,0,eth0
2022-05-05 05:25:54.648315+00:00,0,1473779,71155010,15,0,208896,251971471,0,eth0
2022-05-05 05:26:09.650601+00:00,0,1473792,71155778,15,0,208905,251975595,0,eth0
2022-05-05 05:26:24.636592+00:00,0,1473808,71156719,15,0,208918,251981143,0,eth0
2022-05-05 05:26:39.639414+00:00,0,1473821,71157487,15,0,208927,251985311,0,eth0
2022-05-05 05:26:54.666193+00:00,0,1473838,71158480,15,0,208940,251990842,0,eth0
2022-05-05 05:27:09.668693+00:00,0,1473851,71159248,15,0,208949,251994979,0,eth0
2022-05-05 05:27:24.640278+00:00,0,1473867,71160189,15,0,208962,252000492,0,eth0
2022-05-05 05:27:39.635292+00:00,0,1473880,71160957,15,0,208971,252004657,0,eth0
2022-05-05 05:27:54.646383+00:00,0,1473897,71161950,15,0,208984,252010231,0,eth0
2022-05-05 05:28:09.644819+00:00,0,1473910,71162718,15,0,208993,252014373,0,eth0
2022-05-05 05:28:24.650172+00:00,0,1473927,71163711,15,0,209006,252019902,0,eth0
2022-05-05 05:28:39.650652+00:00,0,1473940,71164479,15,0,209015,252024085,0,eth0
2022-05-05 05:28:54.632569+00:00,0,1473955,71165374,15,0,209027,252029564,0,eth0
2022-05-05 05:29:09.657755+00:00,0,1473969,71166188,15,0,209037,252033746,0,eth0
2022-05-05 05:29:24.646135+00:00,0,1473985,71167135,15,0,209049,252039259,0,eth0
2022-05-05 05:29:39.683720+00:00,0,1473999,71167949,15,0,209059,252043458,0,eth0
2022-05-05 05:29:54.653135+00:00,0,1474015,71168896,15,0,209071,252048990,0,eth0
2022-05-05 05:30:09.661117+00:00,0,1474028,71169664,15,0,209080,252053160,0,eth0
2022-05-05 05:30:24.642530+00:00,0,1474045,71170657,15,0,209093,252058705,0,eth0
2022-05-05 05:30:39.641680+00:00,0,1474058,71171425,15,0,209102,252062872,0,eth0
2022-05-05 05:30:54.655098+00:00,0,1474074,71172366,15,0,209115,252068374,0,eth0
2022-05-05 05:31:09.656381+00:00,0,1474087,71173134,15,0,209124,252072521,0,eth0
2022-05-05 05:31:24.646875+00:00,0,1474103,71174075,15,0,209137,252078047,0,eth0
2022-05-05 05:31:39.642596+00:00,0,1474116,71174843,15,0,209146,252082193,0,eth0
2022-05-05 05:31:54.656787+00:00,0,1474133,71175836,15,0,209159,252087753,0,eth0
2022-05-05 05:32:09.639529+00:00,0,1474146,71176604,15,0,209168,252091860,0,eth0
2022-05-05 05:32:24.656181+00:00,0,1474161,71177499,15,0,209180,252097331,0,eth0
2022-05-05 05:32:39.695248+00:00,0,1474175,71178313,15,0,209190,252101519,0,eth0
2022-05-05 05:32:54.639412+00:00,0,1474191,71179260,15,0,209202,252107055,0,eth0
2022-05-05 05:33:09.648951+00:00,0,1474205,71180074,15,0,209212,252111274,0,eth0
2022-05-05 05:33:24.636888+00:00,0,1474220,71180969,15,0,209224,252116751,0,eth0
2022-05-05 05:33:39.640209+00:00,0,1474233,71181737,15,0,209233,252120883,0,eth0
2022-05-05 05:33:54.646849+00:00,0,1474250,71182730,15,0,209246,252126436,0,eth0
2022-05-05 05:34:09.639761+00:00,0,1474264,71183544,15,0,209256,252130638,0,eth0
2022-05-05 05:34:24.647425+00:00,0,1474280,71184491,15,0,209268,252136153,0,eth0
2022-05-05 05:34:39.626343+00:00,0,1474294,71185305,15,0,209278,252140355,0,eth0
2022-05-05 05:34:54.635107+00:00,0,1474310,71186246,15,0,209291,252145896,0,eth0
2022-05-05 05:35:09.652538+00:00,0,1474323,71187014,15,0,209300,252150045,0,eth0
2022-05-05 05:35:24.647384+00:00,0,1474339,71187955,15,0,209313,252155576,0,eth0
2022-05-05 05:35:39.638632+00:00,0,1474353,71188769,15,0,209323,252159765,0,eth0
2022-05-05 05:35:54.647510+00:00,0,1474368,71189664,15,0,209335,252165244,0,eth0
2022-05-05 05:36:09.648020+00:00,0,1474382,71190478,15,0,209345,252169467,0,eth0
2022-05-05 05:36:24.650092+00:00,0,1474397,71191373,15,0,209357,252174902,0,eth0
2022-05-05 05:36:39.635687+00:00,0,1474411,71192187,15,0,209367,252179126,0,eth0
2022-05-05 05:36:54.631127+00:00,0,1474427,71193128,15,0,209380,252184642,0,eth0
2022-05-05 05:37:09.631149+00:00,0,1474440,71193896,15,0,209389,252188800,0,eth0
2022-05-05 05:37:24.633145+00:00,0,1474456,71194837,15,0,209402,252194367,0,eth0
2022-05-05 05:37:39.632325+00:00,0,1474470,71195651,15,0,209412,252198565,0,eth0
2022-05-05 05:37:54.661299+00:00,0,1474486,71196598,15,0,209424,252204077,0,eth0
2022-05-05 05:38:09.640378+00:00,0,1474500,71197412,15,0,209434,252208285,0,eth0
2022-05-05 05:38:24.622435+00:00,0,1474516,71198353,15,0,209447,252213797,0,eth0
2022-05-05 05:38:39.620785+00:00,0,1474529,71199121,15,0,209456,252217961,0,eth0
2022-05-05 05:38:54.630112+00:00,0,1474545,71200068,15,0,209468,252223458,0,eth0
2022-05-05 05:39:09.641127+00:00,0,1474559,71200882,15,0,209478,252227635,0,eth0
