utctimestamp,total_size_free,total_size_used,total_size_total,total_files,count
2022-05-05 05:07:35.714097+00:00,6630541312,14473326592,21103867904,4195100,109
2022-05-05 05:07:50.720598+00:00,6630541312,14473326592,21103867904,4195100,109
2022-05-05 05:08:05.713407+00:00,6630541312,14473326592,21103867904,4195100,109
2022-05-05 05:08:20.711657+00:00,6630533120,14473334784,21103867904,4195100,109
2022-05-05 05:08:35.714040+00:00,6630524928,14473342976,21103867904,4195100,109
2022-05-05 05:08:50.718166+00:00,6630524928,14473342976,21103867904,4195100,109
2022-05-05 05:09:05.735177+00:00,6630516736,14473351168,21103867904,4195100,109
2022-05-05 05:09:20.711566+00:00,6630516736,14473351168,21103867904,4195100,109
2022-05-05 05:09:35.720919+00:00,6630524928,14473342976,21103867904,4195100,109
2022-05-05 05:09:50.712285+00:00,6630492160,14473375744,21103867904,4195100,109
2022-05-05 05:10:05.711853+00:00,6630483968,14473383936,21103867904,4195100,109
2022-05-05 05:10:20.716179+00:00,6630475776,14473392128,21103867904,4195100,109
2022-05-05 05:10:35.730719+00:00,6630467584,14473400320,21103867904,4195100,109
2022-05-05 05:10:50.709273+00:00,6630467584,14473400320,21103867904,4195100,109
2022-05-05 05:11:05.708414+00:00,6630467584,14473400320,21103867904,4195100,109
2022-05-05 05:11:20.711263+00:00,6630467584,14473400320,21103867904,4195100,109
2022-05-05 05:11:35.710875+00:00,6630467584,14473400320,21103867904,4195100,109
2022-05-05 05:11:50.722488+00:00,6630467584,14473400320,21103867904,4195100,109
2022-05-05 05:12:05.707882+00:00,6630451200,14473416704,21103867904,4195100,109
2022-05-05 05:12:20.706739+00:00,6630451200,14473416704,21103867904,4195100,109
2022-05-05 05:12:35.706416+00:00,6630443008,14473424896,21103867904,4195100,109
2022-05-05 05:12:50.706325+00:00,6630443008,14473424896,21103867904,4195100,109
2022-05-05 05:13:05.708020+00:00,6630434816,14473433088,21103867904,4195100,109
2022-05-05 05:13:20.715259+00:00,6630434816,14473433088,21103867904,4195100,109
2022-05-05 05:13:35.704282+00:00,6630418432,14473449472,21103867904,4195100,109
2022-05-05 05:13:50.711238+00:00,6630418432,14473449472,21103867904,4195100,109
2022-05-05 05:14:05.705304+00:00,6630418432,14473449472,21103867904,4195100,109
2022-05-05 05:14:20.705384+00:00,6630418432,14473449472,21103867904,4195100,109
