0,1,2
7.0569057,7.574545,8.147872
7.299036,7.590335,7.869158
6.8457327,7.3981323,7.846424
6.977439,7.7563787,7.7997713
7.1693025,7.315577,7.64351
7.0311522,7.8611007,7.122668
6.7912507,7.729081,6.8311954
6.691659,7.7484593,6.659818
6.9234133,7.4422755,6.854081
6.5855145,7.5077143,6.5123196
6.925842,7.1821094,6.3559136
6.6319256,6.9444942,6.3617554
6.690245,6.717081,6.0271864
6.2172203,6.6745086,6.0486975
6.3345265,6.533285,5.705901
6.0308456,6.2294307,5.6321273
5.747593,5.937984,5.3977537
5.711351,5.9292393,5.2612367
5.5707283,5.4142203,5.2313185
5.2067013,5.413085,5.1232057
5.2717166,5.197205,4.9344234
4.925125,4.9555073,4.8655562
4.6969275,4.759425,4.648841
4.5116134,4.699647,4.297374
4.2157974,4.379976,4.5990686
3.997987,4.42858,4.338615
3.7656872,4.1966724,4.297995
3.4949138,4.129531,4.469999
3.1392477,4.0233135,4.191933
2.946957,3.740189,4.045123
2.8279727,3.7361102,3.864699
2.3906279,3.6477888,3.9730785
2.1348395,3.4905808,3.6918578
1.7974932,3.2890615,3.651652
1.5930463,3.349799,3.3758974
1.3848184,2.9708996,3.4232213
1.068283,2.6544342,3.501599
0.9921579,2.5890481,3.5171766
0.8696694,2.4271762,3.1386373
0.96751124,2.1488478,3.2641501
0.5623892,2.0886896,2.8946078
0.32863292,1.8608049,3.3038068
0.24903128,2.1270661,3.2425056
0.4670026,2.118403,3.3526244
