0,1,2
11.893568,8.628002,-0.14534256
11.717311,8.488018,-0.05769294
11.798911,8.541867,-0.06538649
11.801962,8.42634,-0.21175493
11.676129,8.427134,-0.16761735
11.521989,8.325906,-0.3391863
11.467606,8.270614,-0.37140208
11.38723,8.186671,-0.34208193
11.168772,8.001001,-0.6695229
11.245794,8.021124,-0.6665027
11.191553,7.805852,-0.8392009
11.233148,7.8582087,-0.9229951
10.860491,7.8781853,-0.78309107
10.841777,7.792297,-0.728685
10.69463,7.935126,-0.88256055
10.405891,7.713052,-0.677701
10.29895,7.8102107,-0.81379
10.07118,7.61611,-0.65686893
9.824023,7.506747,-0.58815455
9.619515,7.3866196,-0.5123082
9.369795,7.255278,-0.41914195
9.202453,7.207236,-0.41331565
8.910903,7.0555887,-0.3213982
8.795922,7.0284595,-0.28595126
8.681055,7.0891476,-0.3438887
8.401798,7.0026383,-0.21922973
8.261624,7.055599,-0.24060763
8.170097,6.9389873,-0.07227371
7.998938,6.9918337,0.03706495
7.8862333,6.880796,0.12611112
7.7411375,6.7964354,0.25780496
7.5777316,6.8051357,0.42831662
7.539796,6.8031263,0.462651
7.3213897,6.7080708,0.69619393
7.317276,6.739188,0.70147926
7.1541295,6.679193,0.8787176
7.2603836,6.6948037,0.7749584
7.243695,6.796511,0.79065263
7.0446353,6.682085,1.0003155
1.5153272,5.904347,5.87989
1.3175569,5.9480767,5.9739614
1.4705455,5.9295025,5.9262753
1.3465402,5.7282405,5.74852
1.1353694,5.8703027,5.907332
1.0006406,5.8774624,5.930312
0.8726857,5.752482,5.8104377
0.77233016,5.658386,5.7122674
0.59206575,5.6984386,5.7942863
0.52248746,5.6677327,5.742656
0.27013567,5.5750933,5.712115
0.07157314,5.5292816,5.6118774
-0.09880065,5.439393,5.6499147
-0.26948285,5.3670063,5.5447793
-0.50097555,5.2911706,5.5125885
-0.71391207,5.231095,5.489287
-0.8850345,5.122639,5.4091063
-1.1185125,5.0469894,5.375896
-1.282509,4.952171,5.318519
-1.388527,4.962748,5.3327575
-1.4918106,4.8674736,5.2384577
-1.6199789,4.808625,5.214788
-1.856825,4.632674,5.0828557
-3.4582598,3.9484427,4.678794
-3.4953775,3.9930573,4.719409
-3.6483777,3.8617353,4.61946
-3.848524,3.6574538,4.5153565
-3.8796554,3.8683734,4.465769
-4.033269,3.6808555,4.415622
-4.050586,3.7687252,4.4575295
-4.2497396,3.5949752,4.327515
-4.568675,3.4262764,4.1620355
-4.788269,3.284966,4.0301404
-4.998793,3.161246,3.9144804
-5.183217,3.0667803,3.8359752
-5.300966,2.979249,3.7544553
-5.4689274,2.747847,3.6094098
-5.7021646,2.8063843,3.5661328
-5.9194827,2.6455178,3.4487631
-6.1733837,2.4602761,3.2966084
-6.409446,2.3153615,3.1713376
-6.737945,2.1009052,3.0080323
-6.947648,1.9687742,2.8550103
-7.088727,1.8742993,2.836492
-7.3315406,1.7435522,2.7043362
-7.529872,1.6314273,2.6111717
-7.707523,1.5276506,2.5011857
-7.9635916,1.370894,2.3721325
-8.150553,1.2469994,2.3070047
-8.360186,1.1192701,2.2358923
-8.560216,0.99290156,2.2236705
-8.699893,0.9512749,2.1182425
-8.830798,0.8492874,2.198623
-9.161334,0.65008056,2.176187
-9.223723,0.60967815,2.094938
-9.4227915,0.5014285,2.1792405
-9.664946,0.33536536,2.1672788
-9.773964,0.27232236,2.1059127
-10.006104,0.12135345,2.1507666
-10.137764,0.08598862,2.0772707
-10.30509,-0.003697819,2.2423534
-10.416493,-0.10574504,2.1525536
-10.91202,-0.28864184,2.2207255
-11.048845,-0.29081413,2.1590104
-11.239326,-0.42810568,2.222415
-11.510294,-0.5781249,2.2029965
-11.640506,-0.5405513,2.2922332
-11.803176,-0.67790484,2.3661044
-11.830562,-0.72661126,2.2697659
-12.045031,-0.8907458,2.2402208
-12.025378,-0.8643664,2.3526254
-12.306452,-1.0942804,2.1690893
-12.267214,-0.971604,2.2195246
-12.506725,-1.1417997,2.533033
-12.484233,-1.1244906,2.609643
-12.616146,-1.211709,2.6329794
-12.628604,-1.3058826,2.7758129
-12.88282,-1.1241722,2.6533382
-12.816714,-1.3016741,2.920803
-12.774275,-1.3793024,2.8875554
-12.74,-1.4617463,2.9216275
