0,1,2
0.97633153,7.1283355,-7.0000978
1.1936072,7.3325753,-6.806897
0.8926907,7.699648,-6.676872
0.8468424,7.602616,-6.900327
0.5491477,7.4332094,-6.694978
0.6277372,7.464257,-7.1105633
1.6166826,4.3702793,-8.262907
1.3760912,4.3119307,-7.951595
1.5812968,3.929296,-7.999534
1.3377926,3.9717648,-8.182521
1.0831631,4.2666283,-7.897219
0.9568865,3.8940785,-8.126959
1.3191576,4.2877045,-7.5287833
0.9091562,3.9567854,-7.526979
1.0957242,4.1438932,-7.354328
0.7354961,4.2052183,-7.2194304
0.4593247,4.0191603,-7.4084787
-1.4463583,4.518008,-6.5886254
-1.6095713,4.4943576,-6.2738485
-1.645562,4.870884,-6.3374434
-2.0596497,4.8441124,-6.204904
-2.2154422,4.508844,-6.4750605
-2.3884473,4.6239204,-6.19546
-2.7685614,4.723194,-6.317254
-2.7817392,4.620556,-5.7979207
-2.967835,4.982487,-5.961806
-2.8220773,5.102822,-5.5187135
-3.2523522,5.0203304,-5.5878716
-3.1167047,5.1358557,-5.4222407
-3.3945165,5.0338774,-5.060909
-3.2188191,4.867869,-4.820986
-3.6735387,4.725077,-5.174838
-3.5644414,4.852924,-5.3077183
14.793776,12.112403,2.4255216
14.443171,12.339607,2.288288
14.337285,11.868279,2.4651902
14.218307,12.134828,2.5595994
14.536383,11.775655,2.7888727
14.169174,12.225203,2.990836
14.434639,12.03994,3.0733051
14.625265,12.359383,2.9249392
14.535693,12.560534,3.1932714
14.708671,11.972279,3.2578714
14.739538,12.213181,3.3378525
