0,1,2
1.5103428,-11.631283,-2.4390705
1.4860035,-11.620012,-2.4039338
1.4851321,-11.5984125,-2.4101083
1.5035542,-11.638216,-2.42048
-0.10273209,12.099553,4.160952
-0.11009255,12.105536,4.1554003
-0.09005302,12.087918,4.1720567
-0.10460812,12.104134,4.1551266
-0.10965031,12.10691,4.1532917
-0.098240115,12.095798,4.16416
-0.08080943,12.068239,4.195932
-0.04392961,12.028697,4.236418
0.24521364,11.632203,4.6825914
0.20494291,11.679801,4.624433
0.2512863,11.629085,4.6691813
0.20924482,11.6696615,4.6420064
0.22746094,11.655546,4.6505384
0.26453388,11.612679,4.700268
0.43814152,11.40676,4.9354367
0.3927208,11.457226,4.8795776
0.2751183,11.59019,4.7376275
0.34694716,11.510947,4.8256617
0.40235534,11.463069,4.879379
0.3937231,11.456075,4.8826265
0.42013136,11.429228,4.890566
0.41691154,11.432974,4.9034805
0.44236612,11.418276,4.918141
-3.7700913,14.869137,6.734107
0.45316073,11.40231,4.912147
0.44676238,11.439781,4.8954964
0.44055712,11.42111,4.91153
-3.75296,14.886211,6.716987
-3.752235,14.8871565,6.716128
-3.8231223,14.816091,6.785292
-3.7877111,14.85157,6.749827
-3.742001,14.897611,6.7056346
-3.730634,14.908865,6.6944313
-3.7158291,14.923818,6.6794467
-3.746019,14.893608,6.709643
-3.7419066,14.897889,6.705385
-3.7912116,14.847524,6.7525864
-3.791639,14.84717,6.752955
-3.6619272,14.97808,6.625346
-3.6922066,14.947728,6.6554656
-3.7329938,14.906764,6.696253
-3.7390807,14.90061,6.702254
-7.6541276,9.976441,5.106566
-7.6435037,9.983632,5.1125546
-3.8274996,14.807761,6.780198
-7.6459484,10.016503,5.1481442
-7.637069,9.996965,5.1252255
-7.644317,10.015058,5.147135
-7.62758,10.007159,5.141664
-7.7076373,10.268716,5.4586816
-7.7646904,10.253612,5.4219584
-7.7524495,10.233166,5.4098654
-7.6314874,10.028234,5.162605
-7.655362,10.168466,5.342331
-7.697303,10.237873,5.421104
-7.7631545,10.326526,5.513383
-7.7254252,10.300811,5.49081
-7.717601,10.294916,5.483386
-7.733224,10.316567,5.514951
-7.761414,10.360241,5.5587773
-7.7164207,10.30484,5.4969144
-7.7007117,10.30956,5.502504
-7.6568866,10.266991,5.4580126
