0,1,2
9.618493,-7.50133,16.236446
9.662001,-7.5453906,16.280064
9.643307,-7.5264053,16.261307
9.66842,-7.5540504,16.286776
9.652166,-7.535247,16.270172
9.646392,-7.5294538,16.264395
9.581941,-7.464097,16.19974
9.616198,-7.498655,16.234013
9.55216,-7.4308443,16.169456
9.580643,-7.462327,16.198362
9.603537,-7.4820166,16.220789
9.58731,-7.4634285,16.204243
9.134307,-2.3856251,15.132014
9.127886,-2.332158,15.102006
9.1600685,-2.3067243,15.068582
9.122341,-2.3524828,15.106678
9.125668,-2.3328574,15.101496
9.128905,-2.342273,15.109021
9.121289,-2.2449675,15.047153
9.130531,-2.235081,15.053269
9.138404,-2.1565373,15.018913
9.134225,-2.1526515,15.029737
9.150662,-2.06068,14.990636
9.153233,-2.0042908,14.982045
9.166186,-1.9988723,14.967064
9.167234,-1.876116,14.941992
9.175508,-1.772866,14.926107
9.170476,-1.793524,14.943429
9.163696,-1.718923,14.937251
9.160384,-1.6674278,14.935318
9.139615,-1.6017004,14.943517
9.151275,-1.5588033,14.9209175
9.129573,-1.4711777,14.943835
9.103711,-1.4416358,14.9675455
9.120819,-1.3890707,14.946591
9.109887,-1.3227888,14.954118
9.0462265,-1.2038039,15.015427
9.023503,-1.135711,15.037105
8.995009,-1.0859618,15.064172
8.978133,-1.0452459,15.080186
8.959539,-1.0231489,15.098463
8.951729,-1.003461,15.106513
8.949406,-0.9988599,15.108453
8.947694,-0.9947952,15.110059
8.946167,-0.99140185,15.111701
8.940436,-0.99488765,15.117833
10.141292,-3.4948428,10.341454
10.122202,-3.4881978,10.369218
10.146696,-3.512583,10.342574
10.142064,-3.4929278,10.339388
10.139145,-3.481033,10.335199
10.131517,-3.447128,10.326776
10.104241,-3.3736782,10.309877
10.167122,-3.4170988,10.305358
10.026121,-3.214558,10.267306
10.067479,-3.274694,10.312344
10.055133,-3.1871274,10.291159
10.03102,-3.116226,10.28333
10.025958,-3.0574327,10.2652645
10.024561,-3.0284865,10.273391
10.020463,-2.892873,10.21922
10.0190525,-2.81766,10.192912
10.017195,-2.7742033,10.18947
10.038673,-2.7478595,10.143694
10.030361,-2.671163,10.154834
10.030784,-2.619336,10.144813
10.052948,-2.5067332,10.107534
10.061483,-2.4434075,10.089524
10.070281,-2.388181,10.076735
10.108461,-2.2450218,10.023302
10.115335,-2.1783056,10.006805
10.130727,-2.126837,9.99503
10.156039,-2.0451996,9.969202
10.177184,-1.9791758,9.946823
10.1951275,-1.9165848,9.926139
10.209212,-1.8824347,9.908875
