utctimestamp,severity
2022-06-16 12:20:10.983092+00:00,INFO
2022-06-16 12:20:25.996780+00:00,INFO
2022-06-16 12:20:41.027318+00:00,INFO
2022-06-16 12:20:55.996614+00:00,INFO
2022-06-16 12:21:11.006714+00:00,INFO
2022-06-16 12:21:25.996108+00:00,INFO
2022-06-16 12:21:40.988297+00:00,INFO
2022-06-16 12:21:56.010457+00:00,INFO
2022-06-16 12:22:10.998247+00:00,INFO
2022-06-16 12:22:26.002668+00:00,INFO
2022-06-16 12:22:40.994350+00:00,INFO
2022-06-16 12:22:55.993953+00:00,INFO
2022-06-16 12:23:10.990614+00:00,INFO
2022-06-16 12:23:26.000299+00:00,INFO
2022-06-16 12:23:41.004090+00:00,INFO
2022-06-16 12:23:56.000238+00:00,INFO
2022-06-16 12:24:10.998811+00:00,INFO
2022-06-16 12:24:25.973045+00:00,INFO
2022-06-16 12:24:40.987274+00:00,INFO
2022-06-16 12:24:55.987389+00:00,INFO
2022-06-16 12:25:10.982688+00:00,INFO
2022-06-16 12:25:25.994271+00:00,INFO
2022-06-16 12:25:41.000501+00:00,INFO
2022-06-16 12:25:55.979942+00:00,INFO
2022-06-16 12:26:10.965837+00:00,INFO
2022-06-16 12:26:25.971429+00:00,INFO
2022-06-16 12:26:40.969075+00:00,INFO
2022-06-16 12:26:55.991507+00:00,INFO
2022-06-16 12:27:10.970236+00:00,INFO
2022-06-16 12:27:25.974541+00:00,INFO
2022-06-16 12:27:40.989023+00:00,INFO
2022-06-16 12:27:55.963234+00:00,INFO
2022-06-16 12:28:11.037969+00:00,INFO
2022-06-16 12:28:25.999767+00:00,INFO
2022-06-16 12:28:40.974723+00:00,INFO
2022-06-16 12:28:55.967880+00:00,INFO
2022-06-16 12:29:10.963595+00:00,INFO
2022-06-16 12:29:25.981735+00:00,INFO
2022-06-16 12:29:40.981216+00:00,INFO
2022-06-16 12:29:55.970399+00:00,INFO
2022-06-16 12:30:10.986393+00:00,INFO
2022-06-16 12:30:25.971774+00:00,INFO
2022-06-16 12:30:40.960436+00:00,INFO
2022-06-16 12:30:55.986573+00:00,INFO
2022-06-16 12:31:10.976388+00:00,INFO
2022-06-16 12:31:25.967112+00:00,INFO
2022-06-16 12:31:40.956691+00:00,INFO
2022-06-16 12:31:55.969092+00:00,INFO
2022-06-16 12:32:10.968449+00:00,INFO
2022-06-16 12:32:25.975061+00:00,INFO
2022-06-16 12:32:40.954449+00:00,INFO
2022-06-16 12:32:55.969082+00:00,INFO
2022-06-16 12:33:10.968748+00:00,INFO
2022-06-16 12:33:25.974538+00:00,INFO
2022-06-16 12:33:40.969934+00:00,INFO
2022-06-16 12:33:55.977757+00:00,INFO
2022-06-16 12:34:10.951921+00:00,INFO
2022-06-16 12:34:25.957073+00:00,INFO
2022-06-16 12:34:40.963644+00:00,INFO
2022-06-16 12:34:55.964080+00:00,INFO
2022-06-16 12:35:10.968967+00:00,INFO
2022-06-16 12:35:25.968599+00:00,INFO
2022-06-16 12:35:40.958799+00:00,INFO
2022-06-16 12:35:55.950102+00:00,INFO
2022-06-16 12:36:10.956737+00:00,INFO
2022-06-16 12:36:25.948501+00:00,INFO
2022-06-16 12:36:40.980609+00:00,INFO
2022-06-16 12:36:55.960339+00:00,INFO
