,in_packets,in_bytes,out_packets,out_bytes
in_packets,1.0,0.9999998404584544,0.9999968279198455,0.9999992104126909
in_bytes,0.9999998404584544,1.0,0.9999977216881702,0.9999995415430732
out_packets,0.9999968279198455,0.9999977216881702,1.0,0.9999973547184603
out_bytes,0.9999992104126909,0.9999995415430732,0.9999973547184603,1.0
