,0
743,-1.3333547
744,-1.4199489
745,-1.4847633
746,-1.584963
747,-1.6655694
748,-1.7347366
749,-1.8416158
750,-1.8235359
751,-1.8599632
752,-1.9639627
753,-2.0101235
754,-2.0940075
755,-2.1488307
756,-2.2633295
757,-2.290893
758,-2.3665683
759,-2.4345918
760,-2.4831927
761,-2.562966
762,-2.6323018
763,-2.7284737
764,-2.7801008
765,-2.8153818
766,-2.9056563
767,-2.8797333
768,-2.9298306
769,-2.9847872
770,-3.0196612
771,-3.0399377
772,-3.1451797
773,-3.2037427
774,-3.223513
775,-3.3186948
776,-3.318409
777,-3.3789198
778,-3.4420307
779,-3.516581
780,-3.479247
781,-3.470587
782,-3.5126436
783,-3.5459414
784,-3.5395415
785,-3.5417316
786,-3.5384037
787,-3.5581975
788,-15.302716
789,-15.328821
790,-15.305833
791,-15.362693
792,-15.321098
793,-15.221322
794,-15.234941
795,-15.210806
796,-15.152818
797,-15.063825
798,-15.079104
799,-15.0559845
800,-14.990758
801,-14.910235
802,-14.838626
803,-14.818521
804,-14.679335
805,-14.709132
806,-14.605912
807,-14.516888
808,-14.462055
809,-14.412357
810,-14.340053
811,-14.277414
812,-14.139626
813,-14.110383
814,-14.094635
815,-14.023331
816,-13.982667
817,-13.876007
818,-13.812913
819,-13.772244
820,-13.665841
821,-13.598928
822,-13.560137
823,-13.51161
824,-13.481771
825,-13.42014
826,-13.309024
827,-13.335634
828,-13.195953
829,-13.146978
830,-13.076197
831,-13.053943
832,-13.003029
833,-12.962064
834,-12.968061
835,-12.927506
836,-12.90579
837,-12.899804
838,-12.85582
839,-12.883982
840,-12.877978
841,-12.883947
842,-11.184234
843,-11.199701
844,-11.205009
845,-11.199513
846,-11.184952
847,-11.164711
848,-11.157028
849,-11.117859
850,-10.979046
851,-11.018013
852,-10.968095
853,-10.943837
854,-10.818694
855,-10.736502
856,-10.686683
857,-10.659987
858,-10.559908
859,-10.510894
860,-10.460338
861,-10.407639
862,-10.359302
863,-10.262775
864,-10.285277
865,-10.159302
866,-10.099459
867,-10.091082
868,-10.0514
869,-9.9826
870,-9.953656
871,-9.858757
872,-9.835268
873,-9.840961
874,-9.761375
875,-9.75746
876,-9.659586
877,-9.662476
878,-9.601033
879,-9.524376
880,-9.500981
881,-9.437691
882,-9.351726
883,-9.338862
884,-9.267231
885,-9.235019
886,-9.1711235
887,-9.168624
888,-9.11832
889,-9.134381
890,-9.088124
891,-9.06857
892,-9.045044
893,-9.045704
894,-9.044251
895,-8.984654
896,-17.92001
897,-17.876638
898,-17.877062
899,-17.878357
900,-17.912767
901,-17.946838
902,-17.946415
903,-17.97549
904,-18.073269
905,-18.129074
906,-18.165844
907,-18.22799
908,-18.317738
909,-18.409548
910,-18.433893
911,-18.585527
912,-18.624315
913,-18.758661
914,-18.762196
915,-18.819437
916,-18.88277
917,-19.031778
918,-19.018637
919,-19.09638
920,-19.14524
921,-19.225779
922,-19.248137
923,-19.277557
924,-19.29153
925,-19.423397
926,-19.412718
927,-19.454424
928,-19.624416
929,-19.61374
930,-19.69265
931,-19.767462
932,-19.82983
933,-19.90679
934,-19.89859
935,-19.924068
936,-20.022865
937,-20.04224
938,-20.173609
939,-20.280146
940,-20.308289
941,-20.310438
942,-20.393246
943,-20.389975
944,-20.400566
945,-20.40397
946,-20.397264
947,-20.412403
948,-20.395584
949,-20.38616
950,-24.144508
951,-24.163
952,-24.150764
953,-24.19806
954,-24.199717
955,-24.221272
956,-24.158995
957,-24.13068
958,-24.120667
959,-24.05154
960,-23.957485
961,-23.877409
962,-23.853039
963,-23.762983
964,-23.712135
965,-23.681923
966,-23.588701
967,-23.54523
968,-23.451857
969,-23.381872
970,-23.316774
971,-23.272816
972,-23.171608
973,-23.136818
974,-23.048445
975,-23.002281
976,-22.917427
977,-22.885155
978,-22.797657
979,-22.75108
980,-22.69091
981,-22.63502
982,-22.551008
983,-22.515564
984,-22.44183
985,-22.394007
986,-22.374407
987,-22.327196
988,-22.253788
989,-22.206137
990,-22.069332
991,-22.04536
992,-21.968172
993,-21.893593
994,-21.858797
995,-21.866056
996,-21.841022
997,-21.810286
998,-21.809452
999,-21.776457
1000,-21.796583
1001,-21.779797
1002,-26.86637
1003,-26.85953
1004,-26.858479
1005,-26.8317
1006,-26.834
1007,-26.774517
1008,-26.7538
1009,-26.754957
1010,-26.693674
1011,-26.61895
1012,-26.491743
1013,-26.501558
1014,-26.46215
1015,-26.40465
1016,-26.390131
1017,-26.27432
1018,-26.280466
1019,-26.192556
1020,-26.119133
1021,-26.018572
1022,-25.983643
1023,-25.889084
1024,-25.872772
1025,-25.794836
1026,-25.786417
1027,-25.67946
1028,-25.730032
1029,-25.70714
1030,-25.687355
1031,-25.698515
1032,-25.669575
1033,15.764296
1034,15.795539
1035,15.880745
1036,15.927028
1037,15.996416
1038,16.029234
1039,16.029701
1040,16.082392
1041,16.196272
1042,16.226757
1043,16.30298
1044,16.305084
1045,16.319458
1046,16.363928
1047,16.391348
1048,16.441853
1049,16.483488
1050,16.485004
1051,16.494373
1052,16.49656
1053,16.540737
1054,16.559578
1055,16.530298
1056,-8.5346775
1057,-8.529063
1058,-8.490709
1059,-8.514796
1060,-8.482865
1061,-8.536221
1062,-8.598343
1063,-8.613944
1064,-8.68002
1065,-8.767227
1066,-8.826236
1067,-9.008996
1068,-9.429705
1069,-9.780799
1070,-10.119738
1071,-10.361853
1072,-10.687171
1073,-11.0474415
1074,-11.258117
1075,-11.419749
1076,-11.5483055
1077,-11.727184
1078,-11.812422
1079,-11.914128
1080,-12.005156
1081,-12.148341
1082,-12.279151
1083,-12.390763
1084,-12.476886
1085,-12.638257
1086,-13.015493
1087,-13.225071
1088,-13.728639
1089,-14.053493
1090,-14.198613
1091,-14.346528
1092,-14.518075
1093,-14.710774
1094,-14.838339
1095,-15.061551
1096,-15.297356
1097,-15.555575
1098,-15.598012
1099,-15.738379
1100,-15.782988
1101,-15.93646
1102,-16.015295
1103,-16.020033
1104,-16.051836
1105,-16.063498
1106,-16.09286
1107,-16.080126
1108,-16.064808
1109,-16.115906
