,utctimestamp
634,2022-05-05 07:53:54.433807+00:00
635,2022-05-05 07:54:09.426005+00:00
636,2022-05-05 07:54:24.432290+00:00
637,2022-05-05 07:59:09.433918+00:00
638,2022-05-05 07:59:24.425570+00:00
639,2022-05-05 07:59:39.419078+00:00
640,2022-05-05 07:59:54.415242+00:00
641,2022-05-05 08:00:09.415888+00:00
642,2022-05-05 08:00:24.416204+00:00
643,2022-05-05 08:00:39.479034+00:00
644,2022-05-05 08:00:54.411124+00:00
645,2022-05-05 08:01:09.406277+00:00
646,2022-05-05 08:01:24.400091+00:00
647,2022-05-05 08:01:39.409367+00:00
648,2022-05-05 08:01:54.430158+00:00
649,2022-05-05 08:02:09.432448+00:00
650,2022-05-05 08:02:24.409074+00:00
651,2022-05-05 08:02:39.423663+00:00
652,2022-05-05 08:02:54.402468+00:00
653,2022-05-05 08:03:09.416759+00:00
654,2022-05-05 08:03:24.414239+00:00
655,2022-05-05 08:03:39.397127+00:00
656,2022-05-05 08:03:54.411001+00:00
657,2022-05-05 08:04:09.408782+00:00
658,2022-05-05 08:04:24.418769+00:00
659,2022-05-05 08:04:39.469331+00:00
660,2022-05-05 08:04:54.430077+00:00
661,2022-05-05 08:05:09.407504+00:00
662,2022-05-05 08:05:24.407356+00:00
663,2022-05-05 08:05:39.411311+00:00
664,2022-05-05 08:05:54.409248+00:00
665,2022-05-05 08:06:09.419444+00:00
666,2022-05-05 08:06:24.406938+00:00
667,2022-05-05 08:06:39.405200+00:00
668,2022-05-05 08:06:54.403767+00:00
669,2022-05-05 08:07:09.406618+00:00
670,2022-05-05 08:07:24.404347+00:00
671,2022-05-05 08:07:39.418267+00:00
672,2022-05-05 08:07:54.400451+00:00
673,2022-05-05 08:08:09.399179+00:00
674,2022-05-05 08:08:24.402420+00:00
675,2022-05-05 08:08:39.403421+00:00
676,2022-05-05 08:08:54.415255+00:00
677,2022-05-05 08:09:09.400323+00:00
678,2022-05-05 08:09:24.387480+00:00
679,2022-05-05 08:09:39.398050+00:00
680,2022-05-05 08:09:54.405987+00:00
681,2022-05-05 08:10:09.409724+00:00
682,2022-05-05 08:10:24.416183+00:00
683,2022-05-05 08:10:39.395345+00:00
684,2022-05-05 08:10:54.401201+00:00
685,2022-05-05 08:11:09.395707+00:00
686,2022-05-05 08:11:24.383812+00:00
687,2022-05-05 08:11:39.407847+00:00
688,2022-05-05 08:11:54.407962+00:00
689,2022-05-05 08:12:09.387014+00:00
690,2022-05-05 08:12:24.396734+00:00
691,2022-05-05 08:12:39.402696+00:00
692,2022-05-05 08:12:54.421302+00:00
693,2022-05-05 08:13:09.394951+00:00
694,2022-05-05 08:13:24.392713+00:00
695,2022-05-05 08:13:39.393107+00:00
696,2022-05-05 08:13:54.391009+00:00
697,2022-05-05 08:14:09.394402+00:00
698,2022-05-05 08:14:24.394914+00:00
699,2022-05-05 08:14:39.424358+00:00
700,2022-05-05 08:14:54.394441+00:00
701,2022-05-05 08:15:09.389613+00:00
702,2022-05-05 08:15:24.389033+00:00
703,2022-05-05 08:15:39.437368+00:00
704,2022-05-05 08:15:54.412165+00:00
705,2022-05-05 08:16:09.386914+00:00
706,2022-05-05 08:16:24.392468+00:00
707,2022-05-05 08:16:39.389754+00:00
708,2022-05-05 08:16:54.400005+00:00
709,2022-05-05 08:17:09.436425+00:00
710,2022-05-05 08:17:24.389991+00:00
711,2022-05-05 08:17:39.386459+00:00
712,2022-05-05 08:17:54.396789+00:00
713,2022-05-05 08:18:09.396596+00:00
714,2022-05-05 08:18:24.441516+00:00
715,2022-05-05 08:18:39.400514+00:00
716,2022-05-05 08:18:54.376755+00:00
717,2022-05-05 08:19:09.384279+00:00
718,2022-05-05 08:19:24.384633+00:00
719,2022-05-05 08:19:39.382973+00:00
720,2022-05-05 08:19:54.398058+00:00
721,2022-05-05 08:20:09.386380+00:00
722,2022-05-05 08:20:24.389319+00:00
723,2022-05-05 08:20:39.375045+00:00
724,2022-05-05 08:20:54.385816+00:00
725,2022-05-05 08:21:09.407002+00:00
726,2022-05-05 08:21:24.387677+00:00
727,2022-05-05 08:21:39.378234+00:00
728,2022-05-05 08:21:54.391605+00:00
729,2022-05-05 08:22:09.388521+00:00
730,2022-05-05 08:22:24.378571+00:00
731,2022-05-05 08:22:39.407324+00:00
732,2022-05-05 08:22:54.394629+00:00
733,2022-05-05 08:23:09.386096+00:00
734,2022-05-05 08:23:24.380468+00:00
735,2022-05-05 08:23:39.385729+00:00
736,2022-05-05 08:23:54.381348+00:00
737,2022-05-05 08:24:09.380326+00:00
738,2022-05-05 08:24:24.383876+00:00
739,2022-05-05 08:24:39.378884+00:00
740,2022-05-05 08:24:54.375464+00:00
741,2022-05-05 08:25:09.374930+00:00
742,2022-05-05 08:25:24.389512+00:00
743,2022-05-05 08:25:39.389655+00:00
744,2022-05-05 08:25:54.382159+00:00
745,2022-05-05 08:26:09.378158+00:00
746,2022-05-05 08:26:24.377159+00:00
747,2022-05-05 08:26:39.412729+00:00
748,2022-05-05 08:26:54.409415+00:00
749,2022-05-05 08:27:09.382159+00:00
750,2022-05-05 08:27:24.370764+00:00
751,2022-05-05 08:27:39.363452+00:00
752,2022-05-05 08:27:54.360057+00:00
753,2022-05-05 08:28:09.394049+00:00
754,2022-05-05 08:28:24.358925+00:00
755,2022-05-05 08:28:39.370405+00:00
756,2022-05-05 08:28:54.359914+00:00
757,2022-05-05 08:29:09.376933+00:00
758,2022-05-05 08:29:24.412218+00:00
759,2022-05-05 08:29:39.385711+00:00
760,2022-05-05 08:29:54.356951+00:00
761,2022-05-05 08:30:09.370270+00:00
762,2022-05-05 08:30:24.378745+00:00
763,2022-05-05 08:30:39.382306+00:00
764,2022-05-05 08:30:54.380450+00:00
765,2022-05-05 08:31:09.364567+00:00
766,2022-05-05 08:31:24.364173+00:00
767,2022-05-05 08:31:39.377017+00:00
768,2022-05-05 08:31:54.397066+00:00
769,2022-05-05 08:32:09.379151+00:00
770,2022-05-05 08:32:24.374133+00:00
771,2022-05-05 08:32:39.362019+00:00
772,2022-05-05 08:32:54.363143+00:00
773,2022-05-05 08:33:09.363477+00:00
774,2022-05-05 08:33:24.362719+00:00
775,2022-05-05 08:33:39.389679+00:00
776,2022-05-05 08:33:54.360102+00:00
777,2022-05-05 08:34:09.367540+00:00
778,2022-05-05 08:34:24.364193+00:00
779,2022-05-05 08:34:39.360882+00:00
780,2022-05-05 08:34:54.363581+00:00
781,2022-05-05 08:35:09.370015+00:00
782,2022-05-05 08:35:54.361356+00:00
783,2022-05-05 08:36:09.361785+00:00
784,2022-05-05 08:37:24.355164+00:00
785,2022-05-05 08:37:39.364788+00:00
786,2022-05-05 08:37:54.371992+00:00
787,2022-05-05 08:38:09.358977+00:00
788,2022-05-05 08:42:54.347589+00:00
789,2022-05-05 08:43:09.357182+00:00
790,2022-05-05 08:43:24.374123+00:00
791,2022-05-05 08:43:39.359069+00:00
792,2022-05-05 08:43:54.348806+00:00
793,2022-05-05 08:44:09.348486+00:00
794,2022-05-05 08:44:24.355869+00:00
795,2022-05-05 08:44:39.387249+00:00
796,2022-05-05 08:44:54.352776+00:00
797,2022-05-05 08:45:09.343251+00:00
798,2022-05-05 08:45:24.358218+00:00
799,2022-05-05 08:45:39.354796+00:00
800,2022-05-05 08:45:54.359949+00:00
801,2022-05-05 08:46:09.365159+00:00
802,2022-05-05 08:46:24.331747+00:00
803,2022-05-05 08:46:39.353543+00:00
804,2022-05-05 08:46:54.350803+00:00
805,2022-05-05 08:47:09.347384+00:00
806,2022-05-05 08:47:24.366263+00:00
807,2022-05-05 08:47:39.374040+00:00
808,2022-05-05 08:47:54.347016+00:00
809,2022-05-05 08:48:09.337818+00:00
810,2022-05-05 08:48:24.331938+00:00
811,2022-05-05 08:48:39.385069+00:00
812,2022-05-05 08:48:54.358131+00:00
813,2022-05-05 08:49:09.343605+00:00
814,2022-05-05 08:49:24.340740+00:00
815,2022-05-05 08:49:39.338193+00:00
816,2022-05-05 08:49:54.341845+00:00
817,2022-05-05 08:50:09.342484+00:00
818,2022-05-05 08:50:24.341323+00:00
819,2022-05-05 08:50:39.336216+00:00
820,2022-05-05 08:50:54.339073+00:00
821,2022-05-05 08:51:09.333967+00:00
822,2022-05-05 08:51:24.352299+00:00
823,2022-05-05 08:51:39.356700+00:00
824,2022-05-05 08:51:54.326257+00:00
825,2022-05-05 08:52:09.331471+00:00
826,2022-05-05 08:52:24.333169+00:00
827,2022-05-05 08:52:39.343780+00:00
828,2022-05-05 08:52:54.353770+00:00
829,2022-05-05 08:53:09.331368+00:00
830,2022-05-05 08:53:24.332281+00:00
831,2022-05-05 08:53:39.336061+00:00
832,2022-05-05 08:53:54.333476+00:00
833,2022-05-05 08:54:09.365956+00:00
834,2022-05-05 08:54:24.355471+00:00
835,2022-05-05 08:54:39.335079+00:00
836,2022-05-05 08:54:54.332570+00:00
837,2022-05-05 08:55:09.327672+00:00
838,2022-05-05 08:55:24.342452+00:00
839,2022-05-05 08:55:39.363400+00:00
840,2022-05-05 08:55:54.336051+00:00
841,2022-05-05 08:56:09.329904+00:00
842,2022-05-05 09:00:54.310184+00:00
843,2022-05-05 09:01:09.329454+00:00
844,2022-05-05 09:01:24.306817+00:00
845,2022-05-05 09:01:39.317099+00:00
846,2022-05-05 09:01:54.317913+00:00
847,2022-05-05 09:02:09.318846+00:00
848,2022-05-05 09:02:24.334163+00:00
849,2022-05-05 09:02:39.358714+00:00
850,2022-05-05 09:02:54.319992+00:00
851,2022-05-05 09:03:09.316119+00:00
852,2022-05-05 09:03:24.317935+00:00
853,2022-05-05 09:03:39.318278+00:00
854,2022-05-05 09:03:54.351311+00:00
855,2022-05-05 09:04:09.318491+00:00
856,2022-05-05 09:04:24.328384+00:00
857,2022-05-05 09:04:39.315001+00:00
858,2022-05-05 09:04:54.313368+00:00
859,2022-05-05 09:05:09.357421+00:00
860,2022-05-05 09:05:24.354032+00:00
861,2022-05-05 09:05:39.313739+00:00
862,2022-05-05 09:05:54.326681+00:00
863,2022-05-05 09:06:09.299356+00:00
864,2022-05-05 09:06:24.309620+00:00
865,2022-05-05 09:06:39.334987+00:00
866,2022-05-05 09:06:54.309149+00:00
867,2022-05-05 09:07:09.309326+00:00
868,2022-05-05 09:07:24.311897+00:00
869,2022-05-05 09:07:39.308706+00:00
870,2022-05-05 09:07:54.328127+00:00
871,2022-05-05 09:08:09.320763+00:00
872,2022-05-05 09:08:24.306601+00:00
873,2022-05-05 09:08:39.310314+00:00
874,2022-05-05 09:08:54.307231+00:00
875,2022-05-05 09:09:09.310304+00:00
876,2022-05-05 09:09:24.330781+00:00
877,2022-05-05 09:09:39.320555+00:00
878,2022-05-05 09:09:54.305505+00:00
879,2022-05-05 09:10:09.312932+00:00
880,2022-05-05 09:10:24.304361+00:00
881,2022-05-05 09:10:39.320400+00:00
882,2022-05-05 09:10:54.310795+00:00
883,2022-05-05 09:11:09.307273+00:00
884,2022-05-05 09:11:24.294673+00:00
885,2022-05-05 09:11:39.302956+00:00
886,2022-05-05 09:11:54.302102+00:00
887,2022-05-05 09:12:09.325040+00:00
888,2022-05-05 09:12:24.303475+00:00
889,2022-05-05 09:12:39.303463+00:00
890,2022-05-05 09:12:54.304306+00:00
891,2022-05-05 09:13:09.302301+00:00
892,2022-05-05 09:13:24.300782+00:00
893,2022-05-05 09:13:39.309097+00:00
894,2022-05-05 09:13:54.298552+00:00
895,2022-05-05 09:14:09.299173+00:00
896,2022-05-05 09:18:54.307804+00:00
897,2022-05-05 09:19:09.300709+00:00
898,2022-05-05 09:19:24.292662+00:00
899,2022-05-05 09:19:39.305878+00:00
900,2022-05-05 09:19:54.292444+00:00
901,2022-05-05 09:20:09.293965+00:00
902,2022-05-05 09:20:24.326402+00:00
903,2022-05-05 09:20:39.291690+00:00
904,2022-05-05 09:20:54.300313+00:00
905,2022-05-05 09:21:09.289706+00:00
906,2022-05-05 09:21:24.290692+00:00
907,2022-05-05 09:21:39.299060+00:00
908,2022-05-05 09:21:54.309195+00:00
909,2022-05-05 09:22:09.292690+00:00
910,2022-05-05 09:22:24.299812+00:00
911,2022-05-05 09:22:39.286685+00:00
912,2022-05-05 09:22:54.291988+00:00
913,2022-05-05 09:23:09.307748+00:00
914,2022-05-05 09:23:24.290158+00:00
915,2022-05-05 09:23:39.290019+00:00
916,2022-05-05 09:23:54.288047+00:00
917,2022-05-05 09:24:09.290095+00:00
918,2022-05-05 09:24:24.284547+00:00
919,2022-05-05 09:24:39.333501+00:00
920,2022-05-05 09:24:54.283383+00:00
921,2022-05-05 09:25:09.286633+00:00
922,2022-05-05 09:25:24.270328+00:00
923,2022-05-05 09:25:39.277040+00:00
924,2022-05-05 09:25:54.292821+00:00
925,2022-05-05 09:26:09.292588+00:00
926,2022-05-05 09:26:24.283640+00:00
927,2022-05-05 09:26:39.283386+00:00
928,2022-05-05 09:26:54.289730+00:00
929,2022-05-05 09:27:09.283692+00:00
930,2022-05-05 09:27:24.290454+00:00
931,2022-05-05 09:27:39.267695+00:00
932,2022-05-05 09:27:54.276876+00:00
933,2022-05-05 09:28:09.282868+00:00
934,2022-05-05 09:28:24.287259+00:00
935,2022-05-05 09:28:39.307669+00:00
936,2022-05-05 09:28:54.277369+00:00
937,2022-05-05 09:29:09.285846+00:00
938,2022-05-05 09:29:24.278413+00:00
939,2022-05-05 09:29:39.289127+00:00
940,2022-05-05 09:29:54.276419+00:00
941,2022-05-05 09:30:09.303768+00:00
942,2022-05-05 09:30:24.272554+00:00
943,2022-05-05 09:30:39.274648+00:00
944,2022-05-05 09:30:54.272556+00:00
945,2022-05-05 09:31:09.282237+00:00
946,2022-05-05 09:31:24.297192+00:00
947,2022-05-05 09:31:39.320428+00:00
948,2022-05-05 09:31:54.286413+00:00
949,2022-05-05 09:32:09.285872+00:00
950,2022-05-05 09:36:54.287093+00:00
951,2022-05-05 09:37:09.272494+00:00
952,2022-05-05 09:37:24.262593+00:00
953,2022-05-05 09:37:39.262408+00:00
954,2022-05-05 09:37:54.266774+00:00
955,2022-05-05 09:38:09.250780+00:00
956,2022-05-05 09:38:24.266866+00:00
957,2022-05-05 09:38:39.262009+00:00
958,2022-05-05 09:38:54.274508+00:00
959,2022-05-05 09:39:09.260977+00:00
960,2022-05-05 09:39:24.260975+00:00
961,2022-05-05 09:39:39.324767+00:00
962,2022-05-05 09:39:54.260133+00:00
963,2022-05-05 09:40:09.261437+00:00
964,2022-05-05 09:40:24.259008+00:00
965,2022-05-05 09:40:39.257488+00:00
966,2022-05-05 09:40:54.262443+00:00
967,2022-05-05 09:41:09.292310+00:00
968,2022-05-05 09:41:24.257081+00:00
969,2022-05-05 09:41:39.270805+00:00
970,2022-05-05 09:41:54.259596+00:00
971,2022-05-05 09:42:09.260514+00:00
972,2022-05-05 09:42:24.267596+00:00
973,2022-05-05 09:42:39.254306+00:00
974,2022-05-05 09:42:54.253886+00:00
975,2022-05-05 09:43:09.257265+00:00
976,2022-05-05 09:43:24.259016+00:00
977,2022-05-05 09:43:39.269202+00:00
978,2022-05-05 09:43:54.260903+00:00
979,2022-05-05 09:44:09.252950+00:00
980,2022-05-05 09:44:24.260068+00:00
981,2022-05-05 09:44:39.251054+00:00
982,2022-05-05 09:44:54.266626+00:00
983,2022-05-05 09:45:09.262936+00:00
984,2022-05-05 09:45:24.252608+00:00
985,2022-05-05 09:45:39.255001+00:00
986,2022-05-05 09:45:54.249135+00:00
987,2022-05-05 09:46:09.242369+00:00
988,2022-05-05 09:46:24.258482+00:00
989,2022-05-05 09:46:39.309984+00:00
990,2022-05-05 09:46:54.256719+00:00
991,2022-05-05 09:47:09.243611+00:00
992,2022-05-05 09:47:24.259362+00:00
993,2022-05-05 09:47:39.260449+00:00
994,2022-05-05 09:47:54.261746+00:00
995,2022-05-05 09:48:09.250638+00:00
996,2022-05-05 09:48:24.261992+00:00
997,2022-05-05 09:48:39.247089+00:00
998,2022-05-05 09:48:54.246979+00:00
999,2022-05-05 09:49:09.255915+00:00
1000,2022-05-05 09:49:24.261926+00:00
1001,2022-05-05 09:49:39.247461+00:00
1002,2022-05-05 09:54:39.259806+00:00
1003,2022-05-05 09:54:54.273266+00:00
1004,2022-05-05 09:55:09.240813+00:00
1005,2022-05-05 09:55:24.238547+00:00
1006,2022-05-05 09:55:39.249394+00:00
1007,2022-05-05 09:55:54.234233+00:00
1008,2022-05-05 09:56:09.247333+00:00
1009,2022-05-05 09:56:24.234625+00:00
1010,2022-05-05 09:56:39.243886+00:00
1011,2022-05-05 09:56:54.226891+00:00
1012,2022-05-05 09:57:09.234154+00:00
1013,2022-05-05 09:57:24.243236+00:00
1014,2022-05-05 09:57:39.246163+00:00
1015,2022-05-05 09:57:54.233384+00:00
1016,2022-05-05 09:58:09.243875+00:00
1017,2022-05-05 09:58:24.241593+00:00
1018,2022-05-05 09:58:39.231372+00:00
1019,2022-05-05 09:58:54.249907+00:00
1020,2022-05-05 09:59:09.230801+00:00
1021,2022-05-05 09:59:24.232946+00:00
1022,2022-05-05 09:59:39.230681+00:00
1023,2022-05-05 09:59:54.228848+00:00
1024,2022-05-05 10:00:09.264102+00:00
1025,2022-05-05 10:00:24.261077+00:00
1026,2022-05-05 10:00:39.232618+00:00
1027,2022-05-05 10:00:54.221270+00:00
1028,2022-05-05 10:01:09.218016+00:00
1029,2022-05-05 10:01:24.241368+00:00
1030,2022-05-05 10:01:39.277794+00:00
1031,2022-05-05 10:01:54.227652+00:00
1032,2022-05-05 10:02:09.232862+00:00
1033,2022-05-05 10:02:24.222267+00:00
1034,2022-05-05 10:02:39.220322+00:00
1035,2022-05-05 10:02:54.233590+00:00
1036,2022-05-05 10:03:09.248344+00:00
1037,2022-05-05 10:03:24.234943+00:00
1038,2022-05-05 10:03:39.223778+00:00
1039,2022-05-05 10:03:54.235421+00:00
1040,2022-05-05 10:04:09.225056+00:00
1041,2022-05-05 10:04:24.263174+00:00
1042,2022-05-05 10:04:39.221842+00:00
1043,2022-05-05 10:04:54.223088+00:00
1044,2022-05-05 10:05:09.226714+00:00
1045,2022-05-05 10:05:24.219371+00:00
1046,2022-05-05 10:05:39.241128+00:00
1047,2022-05-05 10:05:54.244567+00:00
1048,2022-05-05 10:06:09.227732+00:00
1049,2022-05-05 10:06:24.212800+00:00
1050,2022-05-05 10:06:39.206877+00:00
1051,2022-05-05 10:06:54.221326+00:00
1052,2022-05-05 10:07:09.280293+00:00
1053,2022-05-05 10:07:24.217571+00:00
1054,2022-05-05 10:07:39.220783+00:00
1055,2022-05-05 10:07:54.228708+00:00
1056,2022-05-05 10:12:39.224665+00:00
1057,2022-05-05 10:12:54.209078+00:00
1058,2022-05-05 10:13:09.213191+00:00
1059,2022-05-05 10:13:24.207438+00:00
1060,2022-05-05 10:13:39.207410+00:00
1061,2022-05-05 10:13:54.239954+00:00
1062,2022-05-05 10:14:09.248927+00:00
1063,2022-05-05 10:14:24.208153+00:00
1064,2022-05-05 10:14:39.208213+00:00
1065,2022-05-05 10:14:54.196012+00:00
1066,2022-05-05 10:15:09.211726+00:00
1067,2022-05-05 10:15:24.220092+00:00
1068,2022-05-05 10:15:39.206066+00:00
1069,2022-05-05 10:15:54.193507+00:00
1070,2022-05-05 10:16:09.208100+00:00
1071,2022-05-05 10:16:24.202758+00:00
1072,2022-05-05 10:16:39.259223+00:00
1073,2022-05-05 10:16:54.217019+00:00
1074,2022-05-05 10:17:09.214484+00:00
1075,2022-05-05 10:17:24.201464+00:00
1076,2022-05-05 10:17:39.202424+00:00
1077,2022-05-05 10:17:54.192656+00:00
1078,2022-05-05 10:18:09.210321+00:00
1079,2022-05-05 10:18:24.200819+00:00
1080,2022-05-05 10:18:39.200472+00:00
1081,2022-05-05 10:18:54.213034+00:00
1082,2022-05-05 10:19:09.197625+00:00
1083,2022-05-05 10:19:24.215177+00:00
1084,2022-05-05 10:19:39.225177+00:00
1085,2022-05-05 10:19:54.202264+00:00
1086,2022-05-05 10:20:09.197664+00:00
1087,2022-05-05 10:20:24.207038+00:00
1088,2022-05-05 10:20:39.201381+00:00
1089,2022-05-05 10:20:54.211112+00:00
1090,2022-05-05 10:21:09.200102+00:00
1091,2022-05-05 10:21:24.186627+00:00
1092,2022-05-05 10:21:39.198284+00:00
1093,2022-05-05 10:21:54.196719+00:00
1094,2022-05-05 10:22:09.205280+00:00
1095,2022-05-05 10:22:24.228235+00:00
1096,2022-05-05 10:22:39.194694+00:00
1097,2022-05-05 10:22:54.192467+00:00
1098,2022-05-05 10:23:09.211898+00:00
1099,2022-05-05 10:23:24.194393+00:00
1100,2022-05-05 10:23:39.247133+00:00
1101,2022-05-05 10:23:54.193135+00:00
1102,2022-05-05 10:24:09.193316+00:00
1103,2022-05-05 10:24:24.190797+00:00
1104,2022-05-05 10:24:39.185805+00:00
1105,2022-05-05 10:24:54.208440+00:00
1106,2022-05-05 10:25:09.195680+00:00
1107,2022-05-05 10:25:24.193180+00:00
1108,2022-05-05 10:25:39.191923+00:00
1109,2022-05-05 10:25:54.188474+00:00
