,utctimestamp
145,2022-05-05 05:31:39.642596+00:00
146,2022-05-05 05:31:54.656787+00:00
147,2022-05-05 05:32:09.639529+00:00
148,2022-05-05 05:32:24.656181+00:00
149,2022-05-05 05:32:39.695248+00:00
150,2022-05-05 05:32:54.639412+00:00
151,2022-05-05 05:33:09.648951+00:00
152,2022-05-05 05:33:24.636888+00:00
153,2022-05-05 05:33:39.640209+00:00
154,2022-05-05 05:33:54.646849+00:00
155,2022-05-05 05:34:09.639761+00:00
156,2022-05-05 05:34:24.647425+00:00
157,2022-05-05 05:34:39.626343+00:00
158,2022-05-05 05:34:54.635107+00:00
159,2022-05-05 05:35:09.652538+00:00
160,2022-05-05 05:35:24.647384+00:00
161,2022-05-05 05:35:39.638632+00:00
162,2022-05-05 05:35:54.647510+00:00
163,2022-05-05 05:36:09.648020+00:00
164,2022-05-05 05:36:24.650092+00:00
165,2022-05-05 05:36:39.635687+00:00
166,2022-05-05 05:36:54.631127+00:00
167,2022-05-05 05:37:09.631149+00:00
168,2022-05-05 05:37:24.633145+00:00
169,2022-05-05 05:37:39.632325+00:00
170,2022-05-05 05:37:54.661299+00:00
171,2022-05-05 05:38:09.640378+00:00
172,2022-05-05 05:38:24.622435+00:00
173,2022-05-05 05:38:39.620785+00:00
174,2022-05-05 05:38:54.630112+00:00
175,2022-05-05 05:39:09.641127+00:00
176,2022-05-05 05:39:24.646315+00:00
177,2022-05-05 05:39:39.627644+00:00
178,2022-05-05 05:39:54.634591+00:00
179,2022-05-05 05:40:09.634456+00:00
180,2022-05-05 05:40:24.625707+00:00
181,2022-05-05 05:40:39.651936+00:00
182,2022-05-05 05:40:54.619658+00:00
183,2022-05-05 05:41:09.643751+00:00
184,2022-05-05 05:41:24.630777+00:00
185,2022-05-05 05:41:39.624022+00:00
186,2022-05-05 05:41:54.626461+00:00
187,2022-05-05 05:42:09.636813+00:00
188,2022-05-05 05:42:24.628875+00:00
189,2022-05-05 05:42:39.622793+00:00
190,2022-05-05 05:47:24.644999+00:00
191,2022-05-05 05:47:39.634318+00:00
192,2022-05-05 05:47:54.615184+00:00
193,2022-05-05 05:48:09.620125+00:00
194,2022-05-05 05:48:24.622492+00:00
195,2022-05-05 05:48:39.614106+00:00
196,2022-05-05 05:48:54.634313+00:00
197,2022-05-05 05:49:09.605628+00:00
198,2022-05-05 05:49:24.612905+00:00
199,2022-05-05 05:49:39.603654+00:00
200,2022-05-05 05:49:54.615163+00:00
201,2022-05-05 05:50:09.634898+00:00
202,2022-05-05 05:50:24.633892+00:00
203,2022-05-05 05:50:39.610189+00:00
204,2022-05-05 05:50:54.611234+00:00
205,2022-05-05 05:51:09.610506+00:00
206,2022-05-05 05:51:24.609297+00:00
207,2022-05-05 05:51:39.626905+00:00
208,2022-05-05 05:51:54.617364+00:00
209,2022-05-05 05:52:09.607457+00:00
210,2022-05-05 05:52:24.618531+00:00
211,2022-05-05 05:52:39.612212+00:00
212,2022-05-05 05:52:54.609673+00:00
213,2022-05-05 05:53:09.611849+00:00
214,2022-05-05 05:53:24.604489+00:00
215,2022-05-05 05:53:39.609856+00:00
216,2022-05-05 05:53:54.600476+00:00
217,2022-05-05 05:54:09.608582+00:00
218,2022-05-05 05:54:24.617165+00:00
219,2022-05-05 05:54:39.605618+00:00
220,2022-05-05 05:54:54.606601+00:00
221,2022-05-05 05:55:09.607452+00:00
222,2022-05-05 05:55:24.602676+00:00
223,2022-05-05 05:55:39.619765+00:00
224,2022-05-05 05:55:54.629520+00:00
225,2022-05-05 05:56:09.601604+00:00
226,2022-05-05 05:56:24.606942+00:00
227,2022-05-05 05:56:39.612614+00:00
228,2022-05-05 05:56:54.628039+00:00
229,2022-05-05 05:57:09.626777+00:00
230,2022-05-05 05:57:24.608652+00:00
231,2022-05-05 05:57:39.604532+00:00
232,2022-05-05 05:57:54.600941+00:00
233,2022-05-05 05:58:09.588666+00:00
234,2022-05-05 05:58:24.632005+00:00
235,2022-05-05 05:58:39.607198+00:00
236,2022-05-05 05:58:54.602142+00:00
237,2022-05-05 05:59:09.599576+00:00
238,2022-05-05 05:59:24.597464+00:00
239,2022-05-05 05:59:39.596171+00:00
240,2022-05-05 05:59:54.632049+00:00
241,2022-05-05 06:00:09.596316+00:00
242,2022-05-05 06:00:24.605090+00:00
243,2022-05-05 06:00:39.585429+00:00
244,2022-05-05 06:00:54.584570+00:00
245,2022-05-05 06:01:09.656137+00:00
246,2022-05-05 06:01:24.609746+00:00
247,2022-05-05 06:01:39.593862+00:00
248,2022-05-05 06:01:54.593854+00:00
249,2022-05-05 06:02:09.629875+00:00
250,2022-05-05 06:02:24.592717+00:00
251,2022-05-05 06:02:39.607485+00:00
252,2022-05-05 06:02:54.592143+00:00
253,2022-05-05 06:03:09.592108+00:00
254,2022-05-05 06:03:24.584853+00:00
255,2022-05-05 06:03:39.600759+00:00
256,2022-05-05 06:03:54.610157+00:00
257,2022-05-05 06:04:09.608181+00:00
258,2022-05-05 06:04:24.604779+00:00
259,2022-05-05 06:04:39.603057+00:00
260,2022-05-05 06:04:54.605153+00:00
261,2022-05-05 06:05:09.589449+00:00
262,2022-05-05 06:05:24.602312+00:00
263,2022-05-05 06:05:39.600746+00:00
264,2022-05-05 06:05:54.594590+00:00
265,2022-05-05 06:06:09.589229+00:00
266,2022-05-05 06:06:24.586952+00:00
267,2022-05-05 06:06:39.591735+00:00
268,2022-05-05 06:06:54.601005+00:00
269,2022-05-05 06:07:09.585329+00:00
270,2022-05-05 06:07:24.587808+00:00
271,2022-05-05 06:07:39.584989+00:00
272,2022-05-05 06:07:54.592162+00:00
273,2022-05-05 06:08:09.610312+00:00
274,2022-05-05 06:08:24.583775+00:00
275,2022-05-05 06:08:39.587166+00:00
276,2022-05-05 06:08:54.590291+00:00
277,2022-05-05 06:09:09.572425+00:00
278,2022-05-05 06:09:24.590863+00:00
279,2022-05-05 06:09:39.628644+00:00
280,2022-05-05 06:13:54.577687+00:00
281,2022-05-05 06:14:09.574929+00:00
282,2022-05-05 06:14:24.576596+00:00
283,2022-05-05 06:14:39.582529+00:00
284,2022-05-05 06:14:54.591085+00:00
285,2022-05-05 06:15:09.594789+00:00
286,2022-05-05 06:15:24.578151+00:00
287,2022-05-05 06:15:39.579274+00:00
288,2022-05-05 06:15:54.574369+00:00
289,2022-05-05 06:16:09.599726+00:00
290,2022-05-05 06:16:24.588235+00:00
291,2022-05-05 06:16:39.575864+00:00
292,2022-05-05 06:16:54.570091+00:00
293,2022-05-05 06:17:09.576107+00:00
294,2022-05-05 06:17:24.583278+00:00
295,2022-05-05 06:17:39.579689+00:00
296,2022-05-05 06:17:54.591938+00:00
297,2022-05-05 06:18:09.581207+00:00
298,2022-05-05 06:18:24.568081+00:00
299,2022-05-05 06:18:39.572880+00:00
300,2022-05-05 06:18:54.572737+00:00
301,2022-05-05 06:19:09.588162+00:00
302,2022-05-05 06:19:24.566741+00:00
303,2022-05-05 06:19:39.556373+00:00
304,2022-05-05 06:19:54.566647+00:00
305,2022-05-05 06:20:09.568106+00:00
306,2022-05-05 06:20:24.603428+00:00
307,2022-05-05 06:20:39.583201+00:00
308,2022-05-05 06:20:54.559481+00:00
309,2022-05-05 06:21:09.570038+00:00
310,2022-05-05 06:21:24.559775+00:00
311,2022-05-05 06:21:39.555211+00:00
312,2022-05-05 06:21:54.582208+00:00
313,2022-05-05 06:22:09.564047+00:00
314,2022-05-05 06:22:24.567776+00:00
315,2022-05-05 06:22:39.564844+00:00
316,2022-05-05 06:22:54.561538+00:00
317,2022-05-05 06:23:09.576670+00:00
318,2022-05-05 06:23:24.578202+00:00
319,2022-05-05 06:23:39.560376+00:00
320,2022-05-05 06:23:54.559372+00:00
321,2022-05-05 06:24:09.560471+00:00
322,2022-05-05 06:24:24.559134+00:00
323,2022-05-05 06:24:39.603236+00:00
324,2022-05-05 06:24:54.547134+00:00
325,2022-05-05 06:25:09.557663+00:00
326,2022-05-05 06:25:24.563120+00:00
327,2022-05-05 06:25:39.557988+00:00
328,2022-05-05 06:25:54.580494+00:00
329,2022-05-05 06:26:09.576958+00:00
