0,1,2
27.499254,-14.379831,8.613848
27.584682,-14.355766,8.519678
27.405367,-14.823326,8.419962
27.371038,-14.888548,8.885951
26.829376,-14.87617,8.439344
27.215586,-14.944693,8.674046
26.977942,-14.6756525,8.737249
27.21628,-15.133698,8.441812
27.2167,-14.749371,8.235546
22.442917,11.467063,12.9655695
22.807734,11.40886,13.080885
22.291386,11.292207,13.291765
22.70493,11.311869,13.448004
22.877857,11.452521,13.285425
22.66569,11.676037,13.194278
22.527523,11.543283,13.423741
17.18616,-4.005533,-2.0308595
17.073124,-3.9940803,-1.7370216
17.49574,-4.3973894,-1.7581316
17.207417,-4.164563,-1.8865134
17.065992,-4.364043,-1.6986208
16.795242,-4.965611,-1.4813979
16.215816,-5.898787,-1.3763813
16.315516,-6.0620747,-1.2941737
16.314476,-5.9748273,-0.76172286
16.006405,-6.100442,-1.068627
16.483635,-6.3047023,-1.0801837
16.02747,-6.493546,-0.8812228
16.342623,-6.2594733,-0.8647046
-2.6087105,7.1732216,-4.9667053
-2.293659,6.724179,-4.681017
-2.778596,7.231665,-4.612157
-2.5400345,6.7981896,-4.8549128
-2.5723846,6.9835043,-4.4863534
-2.767485,6.615054,-4.633865
-2.8283434,6.7120094,-4.2993536
-3.341151,6.6513567,-4.1490626
-3.210867,6.4943995,-4.2854753
-4.5180845,6.6616597,-3.4532125
-4.65693,6.3496637,-3.4309096
-4.7987585,6.7160506,-3.2596602
-4.9604387,6.6365824,-3.226163
-4.7979913,7.0032406,-3.2539954
-4.7687664,6.8115396,-3.0398517
