utctimestamp,iowait_pct,iowait_norm_pct,nice_pct,nice_norm_pct,idle_pct,idle_norm_pct,total_pct,total_norm_pct,cores,softirq_pct,softirq_norm_pct,steal_pct,steal_norm_pct,user_pct,user_norm_pct,irq_pct,irq_norm_pct,system_pct,system_norm_pct
2022-06-01 12:35:24.595580+00:00,0.0013,0.0013,0,0,0.9866,0.9866,0.0121,0.0121,1,0.0,0.0,0.0,0.0,0.0094,0.0094,0,0,0.0027,0.0027
2022-06-01 12:35:39.599920+00:00,0.0007,0.0007,0,0,0.9886,0.9886,0.0107,0.0107,1,0.0,0.0,0.0,0.0,0.0074,0.0074,0,0,0.0033,0.0033
2022-06-01 12:35:54.605032+00:00,0.0,0.0,0,0,0.9879,0.9879,0.0121,0.0121,1,0.0007,0.0007,0.0,0.0,0.0081,0.0081,0,0,0.0034,0.0034
2022-06-01 12:36:09.608091+00:00,0.0,0.0,0,0,0.988,0.988,0.012,0.012,1,0.0,0.0,0.0007,0.0007,0.0073,0.0073,0,0,0.004,0.004
2022-06-01 12:36:24.597961+00:00,0.0007,0.0007,0,0,0.9866,0.9866,0.0127,0.0127,1,0.0,0.0,0.0,0.0,0.0087,0.0087,0,0,0.004,0.004
2022-06-01 12:36:39.653002+00:00,0.0007,0.0007,0,0,0.9846,0.9846,0.0147,0.0147,1,0.0,0.0,0.0,0.0,0.0107,0.0107,0,0,0.004,0.004
2022-06-01 12:36:54.594250+00:00,0.0,0.0,0,0,0.984,0.984,0.016,0.016,1,0.0007,0.0007,0.0,0.0,0.01,0.01,0,0,0.0053,0.0053
2022-06-01 12:37:09.771204+00:00,0.0007,0.0007,0,0,0.9653,0.9653,0.034,0.034,1,0.0007,0.0007,0.0,0.0,0.026,0.026,0,0,0.0073,0.0073
2022-06-01 12:37:24.617215+00:00,0.0007,0.0007,0,0,0.9383,0.9383,0.061,0.061,1,0.0007,0.0007,0.0007,0.0007,0.0483,0.0483,0,0,0.0114,0.0114
2022-06-01 12:37:39.601271+00:00,0.0007,0.0007,0,0,0.9725,0.9725,0.0268,0.0268,1,0.0,0.0,0.0,0.0,0.0181,0.0181,0,0,0.0087,0.0087
2022-06-01 12:37:54.620983+00:00,0.0034,0.0034,0,0,0.9369,0.9369,0.0597,0.0597,1,0.0,0.0,0.0,0.0,0.0275,0.0275,0,0,0.0322,0.0322
