utctimestamp,severity
2022-06-16 12:20:08.729915+00:00,INFO
2022-06-16 12:20:23.728906+00:00,INFO
2022-06-16 12:20:38.727341+00:00,INFO
2022-06-16 12:20:53.734052+00:00,INFO
2022-06-16 12:21:08.733827+00:00,INFO
2022-06-16 12:21:23.733158+00:00,INFO
2022-06-16 12:21:38.726151+00:00,INFO
2022-06-16 12:21:53.728962+00:00,INFO
2022-06-16 12:22:08.729329+00:00,INFO
2022-06-16 12:22:23.741653+00:00,INFO
2022-06-16 12:22:38.740478+00:00,INFO
2022-06-16 12:22:53.731835+00:00,INFO
2022-06-16 12:23:08.728252+00:00,INFO
2022-06-16 12:23:23.726477+00:00,INFO
2022-06-16 12:23:38.726574+00:00,INFO
2022-06-16 12:23:53.722508+00:00,INFO
2022-06-16 12:24:08.740690+00:00,INFO
2022-06-16 12:24:23.726388+00:00,INFO
2022-06-16 12:24:38.757404+00:00,INFO
2022-06-16 12:24:53.732085+00:00,INFO
2022-06-16 12:25:08.716715+00:00,INFO
2022-06-16 12:25:23.743201+00:00,INFO
2022-06-16 12:25:38.727827+00:00,INFO
2022-06-16 12:25:53.727282+00:00,INFO
2022-06-16 12:26:08.715443+00:00,INFO
2022-06-16 12:26:23.725080+00:00,INFO
2022-06-16 12:26:38.719784+00:00,INFO
2022-06-16 12:26:53.728733+00:00,INFO
2022-06-16 12:27:08.712689+00:00,INFO
2022-06-16 12:27:23.737347+00:00,INFO
2022-06-16 12:27:38.717656+00:00,INFO
2022-06-16 12:27:53.715475+00:00,INFO
2022-06-16 12:28:08.718729+00:00,INFO
2022-06-16 12:28:23.732609+00:00,INFO
2022-06-16 12:28:38.713694+00:00,INFO
2022-06-16 12:28:53.725164+00:00,INFO
2022-06-16 12:29:08.715335+00:00,INFO
2022-06-16 12:29:23.714825+00:00,INFO
2022-06-16 12:29:38.715733+00:00,INFO
2022-06-16 12:29:53.714082+00:00,INFO
2022-06-16 12:30:08.708615+00:00,INFO
2022-06-16 12:30:23.711452+00:00,INFO
2022-06-16 12:30:38.713082+00:00,INFO
2022-06-16 12:30:53.732539+00:00,INFO
2022-06-16 12:31:08.718155+00:00,INFO
2022-06-16 12:31:23.709788+00:00,INFO
2022-06-16 12:31:38.706007+00:00,INFO
2022-06-16 12:31:53.711613+00:00,INFO
2022-06-16 12:32:08.706511+00:00,INFO
2022-06-16 12:32:23.740538+00:00,INFO
2022-06-16 12:32:38.738009+00:00,INFO
2022-06-16 12:32:53.712257+00:00,INFO
