0,1,2
17.169596,6.9776783,4.707705
17.076427,6.9581957,4.679267
16.899294,7.0372353,4.6042314
17.090246,6.9284763,4.6644697
17.128124,6.826711,4.5452847
16.823915,7.021141,4.7112865
16.947416,7.0780635,4.835351
16.972065,6.8623095,4.5866165
6.9689584,17.591942,14.479248
6.7407904,17.61305,14.787212
6.8568044,17.560844,14.545193
6.906517,17.635511,14.576764
6.855282,17.445375,14.558583
6.63811,17.666618,14.731628
6.714395,17.388117,14.751214
6.592774,17.307646,14.879507
6.6821094,17.29505,14.940051
6.7685533,17.247473,14.91627
7.781477,15.747935,15.47628
8.008903,15.462093,15.509308
6.473881,17.088774,14.942864
6.6496744,17.109198,14.887979
7.9365106,15.685256,15.309468
7.9854536,15.599,15.3265505
8.058544,15.454535,15.467668
7.953049,15.568907,15.352751
7.9995074,15.73178,15.219702
5.4191384,15.174029,15.337736
5.1850133,14.909976,15.08241
5.3723664,15.091741,15.279392
5.2629337,14.989205,15.171327
5.0960197,14.81861,14.998231
5.2799854,15.013034,15.18933
16.61211,6.4573016,18.432686
16.401123,6.6682787,18.22165
16.45462,6.61474,18.275442
16.443863,6.6255527,18.264397
16.42369,6.6457195,18.244234
16.580242,6.489166,18.40077
16.496254,6.5731506,18.316774
16.912004,6.863684,4.349645
16.765625,6.6815014,4.319444
8.677826,7.629467,2.963013
8.565677,7.8157005,3.001058
8.770068,7.685306,2.8712924
8.584051,7.9169016,2.7968316
8.450161,7.7478356,3.0404174
8.536718,7.713212,2.8906224
8.467167,7.349262,2.7652895
8.393966,7.2751813,2.7619307
8.345754,7.2028866,2.741217
8.194503,7.023537,2.846837
8.144101,6.9354157,2.9333677
8.1195755,6.8905187,2.8966422
8.067944,6.8260326,2.991348
7.9052033,6.5301147,2.9219315
7.747725,6.304801,3.1917338
7.8232045,6.413711,2.8632
7.8177376,6.291424,3.1056747
7.7752447,6.240674,2.9896193
7.6347547,6.0972295,2.8090193
7.617751,6.0759573,2.8381891
7.6870914,6.1343474,2.9211102
-3.8534412,7.5658126,0.9665744
-3.7415535,7.477985,1.2337801
-3.5905404,7.7053947,1.2638108
-3.6918323,7.6210775,1.1436697
-3.6816509,7.6853633,1.1612824
-3.691576,7.8638806,1.0741796
-3.9561172,7.9061027,0.88846916
-3.8790867,8.0525,0.7573661
-3.9349933,8.077516,0.6208934
-4.056294,8.233174,0.53211814
-3.8292704,8.188744,0.6827165
-4.035898,8.286562,0.5680689
-3.9132164,8.473946,0.5260679
-3.9462595,8.616076,0.39817408
-3.856211,8.63942,0.43604663
-3.9009876,9.593821,-0.19665149
-3.75949,9.719498,-0.30882084
-3.7845125,9.864704,-0.42233405
-3.611799,9.900822,-0.36857843
-3.6565368,10.04587,-0.3591017
-3.492331,10.153217,-0.4508209
-3.3997674,10.216842,-0.54196656
-3.3368976,10.101586,-0.605094
-3.1776392,10.372826,-0.6313691
-3.0675943,10.447852,-0.6219909
-2.834905,10.81042,-0.90130943
-2.866793,10.722632,-0.83459
-2.6803653,11.127093,-1.0723084
-2.7374692,10.954543,-0.9030068
-2.6194887,11.225187,-1.1698076
-2.5574229,11.283175,-1.3504168
-2.454687,11.519676,-1.2933729
-2.448928,11.682324,-1.3872318
-2.5433242,11.686905,-1.4215606
-2.6163936,11.831598,-1.3961227
-2.7406442,11.875778,-1.30596
-2.7948196,11.944727,-1.2662911
-2.7710836,11.895644,-1.3463947
2.7062998,-6.135229,13.384169
2.8539124,-5.963415,13.451175
2.7556758,-6.0601315,13.441386
3.1230135,-5.7392306,13.405167
3.1695924,-5.92952,13.460004
3.2103992,-5.710434,13.225243
3.288947,-5.840579,13.1869
3.3368158,-5.684125,13.022924
3.176343,-5.868353,12.941949
3.1870303,-6.1363482,12.878306
3.0370228,-6.0058722,12.989607
3.0677476,-6.188409,12.831108
3.0951874,-6.491932,13.037766
3.2439725,-6.646457,13.028166
3.1638134,-6.7501497,13.0873575
3.3749716,-6.785205,13.091441
3.4209218,-6.7312813,13.014817
3.3745098,-6.6481004,12.950797
3.3511345,-6.631781,12.897346
