total_norm_pct
0.0732
0.0087
0.0061
0.0081
0.0054
0.0081
0.0146
0.0218
0.2621
0.8952
0.9025
0.904
0.9026
0.8958
0.9021
0.9065
0.9014
0.8979
0.9046
0.9018
0.8959
0.9013
0.9079
0.8959
0.9026
0.9045
0.8964
0.9045
0.906
0.9033
0.8953
0.9027
0.9059
0.894
0.9054
0.9052
0.8953
0.9041
0.9021
0.9027
0.3807
0.0146
0.0146
0.012
0.014
0.014
0.0067
0.0067
0.0107
0.0074
0.0067
0.0073
0.0074
0.0193
0.0067
0.0074
0.0107
0.0087
0.0067
0.0087
0.0073
0.0087
0.0068
0.8932
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.3828
0.0147
0.0166
0.0094
0.0088
0.0087
0.008
0.004
0.0094
0.006
0.0094
0.006
0.0087
0.0133
0.012
0.0074
0.008
0.0094
0.0231
