0,1,2
8.143329,-6.8776693,-1.2286891
8.045054,-6.833493,-1.2591592
8.177106,-6.841878,-1.2699455
8.197111,-6.7581263,-1.345601
8.428494,-6.4062886,-1.6653076
8.506672,-6.500652,-1.5864367
8.47187,-6.434219,-1.6784563
8.802366,-6.523767,-1.5116185
8.701207,-6.421197,-1.514247
9.064944,-6.494365,-1.2305037
9.093071,-6.616402,-1.2227316
8.888476,-6.3344364,-1.1490796
9.084794,-6.493741,-1.2225605
9.196279,-6.50944,-1.1210687
9.584279,-6.2838445,-0.8770951
10.625612,-5.7713203,-0.18195313
10.7399,-5.551058,-0.142442
10.8604145,-5.5550995,0.08689264
10.764599,-5.4970016,-0.008381293
10.6127,-5.368216,-0.11188179
10.516708,-5.3757997,0.010279583
10.627997,-5.361871,-0.06096428
10.706836,-5.2955384,-0.1538434
10.6520195,-5.1994977,-0.35797775
7.4502277,9.459363,-3.1562195
7.336066,9.421823,-3.0675642
7.596274,9.275701,-3.0989032
7.5620036,9.285829,-3.0753865
7.4043565,9.397907,-3.2377138
7.30152,9.2888,-3.274886
7.3569207,9.226568,-3.3310797
7.382957,8.815034,-3.5709662
7.233451,8.91822,-3.3994308
7.4546437,8.747524,-3.6340911
7.235389,8.784821,-3.4591658
4.8918915,3.1002831,-11.65686
4.8446984,3.0140617,-11.623112
4.767214,3.2071137,-11.780988
4.580373,3.0718508,-11.926209
4.6083627,3.3682323,-11.796317
4.651784,3.3124793,-11.695421
4.705941,3.1671476,-11.63237
4.6447864,3.3503137,-11.753648
4.8607306,3.495947,-11.505124
15.691173,3.6123857,9.312613
15.731632,3.562872,9.348153
15.71407,3.7199893,9.188023
15.850118,3.5150545,9.382434
15.786394,3.5768328,9.272359
15.857108,3.807964,8.880009
15.94711,3.6111786,8.963718
16.066315,3.7588835,8.681235
16.053202,3.7670105,8.685408
16.122066,3.648078,8.642609
16.028994,3.6959438,8.729933
-2.896861,2.3212504,2.6327991
-2.64565,2.5219128,2.643734
-2.7653399,2.2656472,2.8374448
-2.8455343,2.389176,2.739114
-2.7572777,2.417888,2.679682
-2.8643045,2.3114886,2.7540433
-2.3137684,2.205206,3.0985081
-2.24605,2.237958,3.1566746
-2.3389902,2.312498,3.1389587
-1.100797,2.0496104,4.099709
-1.1416202,2.0608387,4.056843
-0.99706537,2.1717796,4.197153
-1.1008347,2.0370195,4.0752444
-0.4299599,2.1178095,4.367788
0.10352289,2.2314436,4.3840866
0.022160327,2.1634066,4.4547644
-0.13189942,2.0120726,4.3651886
0.10650127,2.3327432,4.549339
0.16440797,2.2551744,4.3094764
0.27113387,2.123994,4.2338457
0.6540434,2.1067917,3.7417023
0.5796833,2.200652,3.7103324
0.6864708,2.1270802,3.671337
0.49797365,2.172859,3.8338485
-2.4034977,4.9083266,-0.03232749
-2.366104,4.8736777,-0.09330032
-2.412808,4.9222407,-0.15056899
-2.3023705,4.810553,-0.049885772
-2.4249067,4.9078026,-0.12082808
6.0728703,9.062953,8.038285
6.059268,9.097071,8.051683
6.1472,9.095867,8.173381
6.047589,9.433937,8.16301
6.11562,9.653041,8.201476
6.2639246,9.488974,8.372506
6.384545,9.432635,8.457755
6.320719,9.676525,8.208717
6.4311028,9.76435,8.283617
6.2265115,9.770855,8.107677
6.323506,9.875118,8.080435
6.383865,9.966597,7.9913054
6.449671,10.061447,7.9193397
7.3546376,11.963875,6.4123473
7.2698016,11.883105,6.5346375
7.2920256,11.913868,6.5748963
7.1515274,11.745309,6.3773775
7.350131,11.967887,6.460011
7.3792744,12.02008,6.385853
7.164216,11.80722,6.60928
5.0053062,16.943779,2.3602543
4.905743,17.043255,2.418874
5.095106,16.826725,2.4008288
5.1728244,16.802908,2.1346276
5.167163,16.810865,2.2363591
5.3639865,16.613363,2.1721103
5.339105,16.640993,2.1381788
5.2319307,16.745935,2.1492124
5.4194374,16.556967,2.2360382
0.41659048,-6.138166,4.663872
0.4799981,-6.2017174,4.7274046
0.33903873,-6.060739,4.5864325
0.29534492,-6.0169106,4.5426316
0.3532734,-6.074902,4.6006227
0.203084,-5.924602,4.4503064
0.2243707,-5.945423,4.471332
