severity__,hdbscan_on_1D_data,hdbscan_on_2D_data,dbscan_on_1D_data,dbscan_on_2D_data,kmeans_on_1D_data,kmeans_on_2D_data
INFO,-1,0,0,0,7,0
INFO,-1,0,0,0,7,0
INFO,-1,0,0,0,7,0
INFO,-1,0,0,0,7,0
INFO,-1,0,0,0,2,0
INFO,-1,0,0,0,2,0
INFO,-1,0,0,0,2,0
INFO,5,0,0,0,2,0
INFO,5,0,0,0,2,0
INFO,5,0,0,0,2,0
INFO,5,0,0,0,2,0
INFO,5,0,0,0,2,0
INFO,5,0,0,0,2,0
INFO,5,0,0,0,2,0
INFO,5,0,0,0,2,0
INFO,4,1,0,1,2,0
INFO,4,1,0,1,2,0
INFO,4,1,0,1,2,0
INFO,4,1,0,1,2,0
INFO,4,1,0,1,2,0
INFO,4,1,0,1,2,0
INFO,4,1,0,1,2,0
INFO,4,1,0,1,2,0
INFO,-1,1,0,1,2,0
INFO,-1,3,0,2,4,6
INFO,6,3,0,2,4,6
INFO,6,3,0,2,4,6
INFO,6,3,0,2,4,6
INFO,6,3,0,2,4,6
INFO,6,3,0,2,4,6
INFO,6,3,0,2,4,6
INFO,6,3,0,2,4,6
INFO,6,3,0,2,4,6
INFO,6,3,0,2,4,6
INFO,-1,3,0,2,4,6
INFO,7,2,0,3,4,5
INFO,7,2,0,3,4,5
INFO,7,2,0,3,4,5
INFO,7,2,0,3,4,5
INFO,7,2,0,3,4,5
INFO,7,2,0,3,4,5
INFO,7,2,0,3,4,5
INFO,7,2,0,3,4,5
INFO,-1,2,0,3,0,5
INFO,-1,9,0,4,0,3
INFO,-1,9,0,4,0,3
INFO,-1,9,0,4,0,3
INFO,-1,9,0,4,0,3
INFO,-1,9,0,4,0,3
INFO,9,9,0,4,0,3
INFO,9,9,0,4,0,3
INFO,9,9,0,4,0,3
INFO,9,9,0,4,0,3
INFO,9,9,0,4,0,3
INFO,9,9,0,4,0,3
INFO,8,7,0,5,6,2
INFO,8,7,0,5,6,2
INFO,8,7,0,5,6,2
INFO,8,7,0,5,6,2
INFO,8,7,0,5,6,2
INFO,8,7,0,5,6,2
INFO,-1,7,0,5,6,2
INFO,-1,7,0,5,6,2
INFO,-1,7,0,5,6,2
INFO,-1,5,0,6,6,4
INFO,-1,5,0,6,6,4
INFO,-1,5,0,6,6,4
INFO,1,5,0,6,3,4
INFO,1,5,0,6,3,4
INFO,1,5,0,6,3,4
INFO,1,5,0,6,3,4
INFO,1,5,0,6,3,4
INFO,1,5,0,6,3,4
INFO,1,5,0,6,3,4
INFO,1,5,0,6,3,4
INFO,1,5,0,-1,3,4
INFO,1,5,0,-1,3,4
INFO,1,5,0,-1,3,4
INFO,1,5,0,-1,3,4
INFO,1,5,0,7,3,4
INFO,1,5,0,7,3,4
INFO,1,5,0,7,3,4
INFO,1,5,0,7,3,4
INFO,1,5,0,7,3,4
INFO,0,4,0,8,5,7
INFO,0,4,0,8,5,7
INFO,0,4,0,8,5,7
INFO,0,4,0,8,5,7
INFO,0,4,0,8,5,7
INFO,0,4,0,8,5,7
INFO,0,4,0,8,5,7
INFO,0,4,0,8,5,7
INFO,0,4,0,8,5,7
INFO,0,4,0,8,5,7
INFO,0,4,0,8,5,7
INFO,0,4,0,8,5,7
INFO,0,4,0,8,5,7
INFO,0,6,0,9,5,1
INFO,0,6,0,9,5,1
INFO,0,6,0,9,5,1
INFO,0,6,0,9,5,1
INFO,0,6,0,9,5,1
INFO,0,6,0,9,5,1
INFO,0,6,0,9,5,1
INFO,-1,10,0,10,1,3
INFO,-1,10,0,10,1,3
INFO,-1,10,0,10,1,3
INFO,2,10,0,10,1,3
INFO,2,10,0,10,1,3
INFO,2,10,0,10,1,3
INFO,2,10,0,10,1,3
INFO,2,10,0,10,1,3
INFO,2,10,0,10,1,3
INFO,3,8,0,11,1,2
INFO,3,8,0,11,1,2
INFO,3,8,0,11,1,2
INFO,3,8,0,11,1,2
INFO,3,8,0,11,1,2
INFO,3,8,0,11,1,2
INFO,-1,8,0,11,1,2
