iowait_pct,idle_pct,total_pct,steal_pct,softirq_pct,user_pct,system_pct
0.0,0.0,1.0,0.0007,0.0007,0.998,0.0007
0.0,0.0,1.0,0.0,0.0007,0.9973,0.002
0.0,0.6172,0.3828,0.0,0.0007,0.3762,0.006
0.0007,0.9846,0.0147,0.0,0.0007,0.0093,0.0047
0.0027,0.9807,0.0166,0.0,0.0,0.0127,0.004
0.0007,0.9899,0.0094,0.0,0.0007,0.006,0.0027
0.0,0.9912,0.0088,0.0,0.0,0.0067,0.002
0.0007,0.9906,0.0087,0.0,0.0,0.0067,0.002
0.0,0.992,0.008,0.0,0.0,0.0054,0.0027
0.0007,0.9953,0.004,0.0,0.0,0.0034,0.0007
0.0,0.9906,0.0094,0.0,0.0,0.0061,0.0034
0.0007,0.9933,0.006,0.0,0.0,0.0027,0.0034
0.0,0.9906,0.0094,0.0007,0.0,0.006,0.0027
0.0007,0.9933,0.006,0.0,0.0,0.004,0.002
0.0007,0.9906,0.0087,0.0,0.0,0.0067,0.002
0.0,0.9867,0.0133,0.0,0.0,0.01,0.0033
0.0007,0.9873,0.012,0.0,0.0007,0.0087,0.0027
0.0,0.9926,0.0074,0.0,0.0,0.0047,0.0027
0.0007,0.9913,0.008,0.0,0.0007,0.0047,0.0027
0.0007,0.9899,0.0094,0.0,0.0,0.0067,0.0027
0.0,0.9769,0.0231,0.0,0.0007,0.0178,0.0046
