utctimestamp,severity
2022-06-16 12:20:13.334200+00:00,INFO
2022-06-16 12:20:28.327835+00:00,INFO
2022-06-16 12:20:43.327427+00:00,INFO
2022-06-16 12:20:58.325523+00:00,INFO
2022-06-16 12:21:13.341165+00:00,INFO
2022-06-16 12:21:28.340733+00:00,INFO
2022-06-16 12:21:43.324765+00:00,INFO
2022-06-16 12:21:58.325220+00:00,INFO
2022-06-16 12:22:13.323374+00:00,INFO
2022-06-16 12:22:28.345037+00:00,INFO
2022-06-16 12:22:43.351897+00:00,INFO
2022-06-16 12:22:58.341275+00:00,INFO
2022-06-16 12:23:13.320804+00:00,INFO
2022-06-16 12:23:28.320205+00:00,INFO
2022-06-16 12:23:43.323105+00:00,INFO
2022-06-16 12:23:58.334765+00:00,INFO
2022-06-16 12:24:13.329988+00:00,INFO
2022-06-16 12:24:28.319148+00:00,INFO
2022-06-16 12:24:43.318967+00:00,INFO
2022-06-16 12:24:58.319408+00:00,INFO
2022-06-16 12:25:13.317416+00:00,INFO
2022-06-16 12:25:28.336322+00:00,INFO
2022-06-16 12:25:43.329586+00:00,INFO
2022-06-16 12:25:58.321177+00:00,INFO
2022-06-16 12:26:13.318487+00:00,INFO
2022-06-16 12:26:28.314563+00:00,INFO
2022-06-16 12:26:43.314693+00:00,INFO
2022-06-16 12:26:58.340629+00:00,INFO
2022-06-16 12:27:13.320666+00:00,INFO
2022-06-16 12:27:28.326312+00:00,INFO
2022-06-16 12:27:43.315670+00:00,INFO
2022-06-16 12:27:58.321808+00:00,INFO
2022-06-16 12:28:13.337767+00:00,INFO
2022-06-16 12:28:28.326249+00:00,INFO
2022-06-16 12:28:43.334986+00:00,INFO
2022-06-16 12:28:58.310312+00:00,INFO
2022-06-16 12:29:13.311543+00:00,INFO
2022-06-16 12:29:28.308728+00:00,INFO
2022-06-16 12:29:43.317351+00:00,INFO
2022-06-16 12:29:58.307295+00:00,INFO
2022-06-16 12:30:13.310879+00:00,INFO
2022-06-16 12:30:28.326806+00:00,INFO
2022-06-16 12:30:43.307537+00:00,INFO
2022-06-16 12:30:58.323114+00:00,INFO
2022-06-16 12:31:13.352879+00:00,INFO
2022-06-16 12:31:28.314117+00:00,INFO
2022-06-16 12:31:43.312811+00:00,INFO
2022-06-16 12:31:58.311603+00:00,INFO
2022-06-16 12:32:13.315536+00:00,INFO
2022-06-16 12:32:28.326977+00:00,INFO
2022-06-16 12:32:43.309537+00:00,INFO
2022-06-16 12:32:58.309026+00:00,INFO
2022-06-16 12:33:13.304211+00:00,INFO
2022-06-16 12:33:28.312797+00:00,INFO
2022-06-16 12:33:43.330382+00:00,INFO
2022-06-16 12:33:58.312851+00:00,INFO
2022-06-16 12:34:13.307399+00:00,INFO
2022-06-16 12:34:28.308082+00:00,INFO
2022-06-16 12:34:43.310433+00:00,INFO
2022-06-16 12:34:58.316807+00:00,INFO
2022-06-16 12:35:13.350597+00:00,INFO
2022-06-16 12:35:28.308480+00:00,INFO
2022-06-16 12:35:43.302047+00:00,INFO
2022-06-16 12:35:58.296190+00:00,INFO
2022-06-16 12:36:13.302601+00:00,INFO
2022-06-16 12:36:28.296850+00:00,INFO
2022-06-16 12:36:43.311014+00:00,INFO
2022-06-16 12:36:58.316190+00:00,INFO
2022-06-16 12:37:13.293167+00:00,INFO
2022-06-16 12:37:28.292425+00:00,INFO
2022-06-16 12:37:43.292084+00:00,INFO
2022-06-16 12:37:58.292761+00:00,INFO
2022-06-16 12:38:13.297608+00:00,INFO
2022-06-16 12:38:28.291017+00:00,INFO
2022-06-16 12:38:43.298762+00:00,INFO
2022-06-16 12:38:58.289642+00:00,INFO
2022-06-16 12:39:13.289217+00:00,INFO
2022-06-16 12:39:28.295486+00:00,INFO
2022-06-16 12:39:43.288175+00:00,INFO
2022-06-16 12:39:58.288272+00:00,INFO
2022-06-16 12:40:13.287358+00:00,INFO
2022-06-16 12:40:28.289649+00:00,INFO
2022-06-16 12:40:43.302857+00:00,INFO
