0,1,2
12.447928,4.3287587,1.4791051
12.727277,4.5254345,1.8146827
12.442405,4.5386243,1.7428415
12.617511,4.293079,1.7412398
12.52205,4.1884794,1.8610282
12.226833,3.7775993,2.2895308
12.24067,3.4978817,2.1871798
11.867669,3.5193295,2.4872456
11.70818,3.5698273,2.139256
11.573863,3.4870195,2.0364268
11.342603,3.4366014,2.3348317
11.17592,3.6817286,2.3680248
10.91408,3.6250627,2.0400794
10.656141,3.7268236,2.4218905
10.34204,3.77152,2.2442436
9.959291,3.748654,2.5700161
9.814444,3.8730724,2.4828393
9.595838,3.8272872,2.6323411
9.191235,3.654943,3.0083816
9.1718,4.1153593,3.124879
8.733085,4.0677466,3.1589506
8.795932,4.255517,3.5607972
8.396121,4.506446,3.548212
8.583701,4.672329,3.8902912
8.226678,4.7986746,4.104929
8.3766,4.9594984,4.327254
7.9899473,5.01499,4.4851117
8.108146,5.170726,4.7849026
7.894572,5.360956,4.9302073
7.740385,5.5416827,5.0430603
7.8816743,5.5176907,5.4937067
7.71815,5.7810507,5.6352983
7.4582305,5.8179493,5.879289
7.5220942,6.173266,6.1307235
7.139827,6.055514,6.141116
7.0629444,6.2179418,6.400697
6.839313,6.404176,6.621348
6.408938,6.410634,6.519967
6.59977,6.7287836,6.3832407
6.489946,6.707193,6.8915815
6.3460736,6.928804,6.5805163
6.022275,6.8801374,6.822593
5.904202,6.7160096,6.521692
5.962033,6.608055,6.64266
