total,used_pct,used_bytes,actual_free,actual_used_pct,actual_used_bytes,page_stats_pgsteal_direct_pages,page_stats_pgsteal_kswapd_pages,page_stats_direct_efficiency_pct,page_stats_kswapd_efficiency_pct,page_stats_pgfree_pages,page_stats_pgscan_kswapd_pages,page_stats_pgscan_direct_pages,swap_in_pages,swap_readahead_pages,swap_readahead_cached,swap_used_pct,swap_used_bytes,swap_total,swap_free,swap_out_pages,free,hugepages_swap_out_pages,hugepages_swap_out_fallback,hugepages_total,hugepages_used_pct,hugepages_used_bytes,hugepages_default_size,hugepages_free,hugepages_surplus,hugepages_reserved,utctimestamp
1028845568,0.9126,938954752,611532800,0.4056,417312768,125,552583,1,0.8723,18497109,633473,125,0,0,0,0,0,0,0,0,89890816,0,0,0,0,0,2097152,0,0,0,2022-05-05T04:58:18.308816+00:00
1028845568,0.9126,938954752,611536896,0.4056,417308672,125,552583,1,0.8723,18497223,633473,125,0,0,0,0,0,0,0,0,89890816,0,0,0,0,0,2097152,0,0,0,2022-05-05T04:58:32.825474+00:00
1028845568,0.9126,938954752,611627008,0.4055,417218560,125,552583,1,0.8723,18499066,633473,125,0,0,0,0,0,0,0,0,89890816,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:03:48.332923+00:00
1028845568,0.9126,938921984,611659776,0.4055,417185792,125,552583,1,0.8723,18499176,633473,125,0,0,0,0,0,0,0,0,89923584,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:04:02.818662+00:00
1028845568,0.9126,938921984,611659776,0.4055,417185792,125,552583,1,0.8723,18499247,633473,125,0,0,0,0,0,0,0,0,89923584,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:04:18.298112+00:00
1028845568,0.9126,938921984,611663872,0.4055,417181696,125,552583,1,0.8723,18499361,633473,125,0,0,0,0,0,0,0,0,89923584,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:04:32.792310+00:00
1028845568,0.9126,938913792,611700736,0.4054,417144832,125,552583,1,0.8723,18499956,633473,125,0,0,0,0,0,0,0,0,89931776,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:06:18.315736+00:00
1028845568,0.9126,938913792,611700736,0.4054,417144832,125,552583,1,0.8723,18500070,633473,125,0,0,0,0,0,0,0,0,89931776,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:06:32.818507+00:00
1028845568,0.9126,938946560,611651584,0.4055,417193984,125,552583,1,0.8723,18499599,633473,125,0,0,0,0,0,0,0,0,89899008,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:05:18.298587+00:00
1028845568,0.9126,938946560,611663872,0.4055,417181696,125,552583,1,0.8723,18499710,633473,125,0,0,0,0,0,0,0,0,89899008,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:05:32.811501+00:00
1028845568,0.9126,938954752,611594240,0.4056,417251328,125,552583,1,0.8723,18498704,633473,125,0,0,0,0,0,0,0,0,89890816,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:02:48.300539+00:00
1028845568,0.9126,938954752,611606528,0.4055,417239040,125,552583,1,0.8723,18498813,633473,125,0,0,0,0,0,0,0,0,89890816,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:03:02.825870+00:00
1028845568,0.9126,938954752,611606528,0.4055,417239040,125,552583,1,0.8723,18498884,633473,125,0,0,0,0,0,0,0,0,89890816,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:03:18.300415+00:00
1028845568,0.9126,938954752,611610624,0.4055,417234944,125,552583,1,0.8723,18498995,633473,125,0,0,0,0,0,0,0,0,89890816,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:03:32.826302+00:00
1028845568,0.9126,938921984,611627008,0.4055,417218560,125,552583,1,0.8723,18498530,633473,125,0,0,0,0,0,0,0,0,89923584,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:02:18.317437+00:00
1028845568,0.9126,938921984,611627008,0.4055,417218560,125,552583,1,0.8723,18498644,633473,125,0,0,0,0,0,0,0,0,89923584,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:02:32.820062+00:00
1028845568,0.9126,938946560,611631104,0.4055,417214464,125,552583,1,0.8723,18499421,633473,125,0,0,0,0,0,0,0,0,89899008,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:04:48.307647+00:00
1028845568,0.9126,938946560,611651584,0.4055,417193984,125,552583,1,0.8723,18499531,633473,125,0,0,0,0,0,0,0,0,89899008,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:05:02.843278+00:00
1028845568,0.9126,938946560,611663872,0.4055,417181696,125,552583,1,0.8723,18499778,633473,125,0,0,0,0,0,0,0,0,89899008,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:05:48.296256+00:00
1028845568,0.9126,938946560,611663872,0.4055,417181696,125,552583,1,0.8723,18499888,633473,125,0,0,0,0,0,0,0,0,89899008,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:06:02.812346+00:00
1028845568,0.9144,940752896,610930688,0.4062,417914880,125,552583,1,0.8723,18512939,633473,125,0,0,0,0,0,0,0,0,88092672,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:28:18.273538+00:00
1028845568,0.9144,940752896,610930688,0.4062,417914880,125,552583,1,0.8723,18513053,633473,125,0,0,0,0,0,0,0,0,88092672,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:28:32.771399+00:00
1028845568,0.9144,940752896,610897920,0.4062,417947648,125,552583,1,0.8723,18512228,633473,125,0,0,0,0,0,0,0,0,88092672,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:26:18.267162+00:00
1028845568,0.9144,940752896,610902016,0.4062,417943552,125,552583,1,0.8723,18512342,633473,125,0,0,0,0,0,0,0,0,88092672,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:26:32.762688+00:00
1028845568,0.9144,940752896,610910208,0.4062,417935360,125,552583,1,0.8723,18512588,633473,125,0,0,0,0,0,0,0,0,88092672,0,0,0,0,0,2097152,0,0,0,2022-05-05T05:27:18.267263+00:00
